 date      axp       cat      sbux
19990318 0.055297 -0.009259 -0.001031
19990319 -0.03526 0 -0.074303
19990322 -0.00203 0.00267 0.059086
19990323 -0.012716 -0.038615 -0.035789
19990324 -0.034518 0.018006 0.015284
19990325 0.045891 0.032653 0.002151
19990326 -0.014286 -0.013175 -0.025751
19990329 0.021222 0.009346 0.035242
19990330 -0.012874 -0.006614 -0.038298
19990331 -0.030864 -0.021305 -0.006637
19990401 0.027601 0.021769 0.055679
19990405 0.036674 0.045273 0.040084
19990406 -0.017439 -0.014013 -0.002028
19990407 0.025862 0.002584 0.00813
19990408 0.010381 0.002577 0.028226
19990409 0.004892 0.002571 0.015686
19990412 0.054528 0.053846 0.001931
19990413 0.023084 0.065693 -0.013487
19990414 -0.01444 0.108447 -0.015625
19990415 -0.020604 0.018538 0.03373
19990416 -0.028518 0.032356 -0.019194
19990419 -0.028874 -0.032321 -0.074364
19990420 0.010902 -0.017206 0.042283
19990421 0.057843 0.016478 0.01217
19990422 0.017146 -0.025532 0.0501
19990423 -0.013212 0.012539 -0.022901
19990426 -0.007849 0.023736 0.072266
19990427 0.033039 0.025202 0.136612
19990428 -0.040991 0.015733 -0.065705
19990429 0.017379 0.014521 -0.013722
19990430 -0.034626 -0.017176 0.027826
19990503 0.020564 0.012621 0.015228
19990504 -0.04686 0.003835 -0.03
19990505 0.017699 -0.004776 0.030928
19990506 0.01256 0.003839 -0.06
19990507 0.028149 -0.033461 -0.01773
19990510 -0.027378 -0.02275 0.070397
19990511 -0.024332 0.023279 0.043845
19990512 -0.014181 -0.038576 0.027464
19990513 -0.009921 -0.002058 -0.02673
19990514 -0.032064 0.006186 -0.003231
19990517 0.007246 0.002049 0.024311
19990518 0.02261 -0.039877 -0.071203
19990519 0.00402 -0.011715 0.010221
19990520 -0.012012 0.016164 -0.021922
19990521 -0.025329 0.011665 0.008621
19990524 -0.028586 -0.007338 -0.05641
19990525 -0.019797 -0.008448 -0.019928
19990526 0.044214 -0.014909 0.077634
19990527 -0.022478 -0.042162 -0.020583
19990528 0.035829 -0.009029 0.033275
19990601 -0.023748 0.070615 -0.047458
19990602 0.002115 -0.006383 0.074733
19990603 0.026913 0.035332 -0.048013
19990604 0.029805 0.039297 0.001739
19990607 0.021956 0.006965 0.00434
19990608 0.007813 -0.017787 -0.023336
19990609 -0.030039 -0.01006 -0.014159
19990610 -0.015984 0.006098 0.017953
19990611 -0.012944 -0.039394 -0.012346
19990614 -0.026999 0.008412 0.003571
19990615 0.006871 -0.025026 0.044484
19990616 0.04147 0.008556 0.018739
19990617 0.014113 -0.00106 -0.006689
19990618 -0.008449 0.044586 -0.005051
19990621 0.013033 -0.010163 0.042301
19990622 -0.01237 -0.011294 -0.061688
19990623 -0.017034 -0.009346 0.046713
19990624 -0.021407 -0.010482 -0.028099
19990625 0.020312 -0.006356 -0.034014
19990628 0.022971 0.036247 -0.038732
19990629 0.017465 0.006173 0.064103
19990630 0.022854 -0.018405 0.034423
19990701 0.023055 0.019792 -0.282862
19990702 0.033803 0.012257 0.023202
19990706 0.004541 -0.042381 -0.036281
19990707 -0.018083 0.047418 -0.058824
19990708 -0.014733 -0.015091 -0.015
19990709 -0.001869 0 0.017766
19990712 0.013109 -0.003064 0.002494
19990713 -0.015712 -0.018443 0.0199
19990714 -0.012207 -0.001044 0.034146
19990715 0.020913 -0.005225 -0.024764
19990716 0.012104 -0.003992 -0.018138
19990719 0.024379 0.022269 -0.014778
19990720 -0.038617 -0.001037 -0.005
19990721 0.001401 0.007269 0.015075
19990722 0.022388 -0.002062 -0.05198
19990723 -0.010493 0.008264 0.08094
19990726 0.006916 -0.016393 -0.041063
19990727 0.04304 0.002083 0.005038
19990728 -0.007902 0.018711 -0.015038
19990729 -0.019027 -0.038776 -0.022901
19990730 -0.049166 -0.004246 -0.03125
19990802 -0.012808 -0.001066 -0.013441
19990803 -0.025949 -0.01174 -0.013624
19990804 -0.02516 -0.011879 -0.033149
19990805 0.029352 -0.018579 0.008571
19990806 -0.031957 0.028953 -0.042493
19990809 0.015744 0 -0.014793
19990810 -0.004 0.019481 -0.036036
19990811 0.02008 0.006369 0.074766
19990812 0.021654 0.029536 -0.046377
19990813 0.038054 0.020492 0.006079
19990816 0.008817 0.001004 0.009063
19990817 0.032199 -0.005015 -0.020958
19990818 -0.02139 -0.016129 0.009174
19990819 0.009107 -0.01127 -0.006061
19990820 0.031588 0 0
19990823 0.024497 0.043523 0.04878
19990824 0.010248 0.000993 0.011628
19990825 -0.004227 -0.003968 -0.008621
19990826 -0.000424 0.005976 0.008696
19990827 -0.01741 -0.023762 0.091954
19990830 -0.03414 -0.034483 -0.068421
19990831 -0.01566 -0.048319 0.033898
19990901 0.010909 0.024283 0.008197
19990902 -0.022482 0.015086 -0.03523
19990903 0.045078 0.005308 0.044944
19990907 -0.006162 -0.013728 -0.010753
19990908 -0.020372 0.004283 -0.032609
19990909 0.002712 0.002132 -0.011236
19990910 0.009919 -0.034043 -0.005682
19990913 0.001786 0.047357 0.005714
19990914 -0.006239 -0.016824 0.03125
19990915 -0.016143 0.004278 -0.03719
19990916 -0.004558 -0.036209 -0.021459
19990917 0.024725 0.030939 0.02924
19990920 -0.004915 -0.021436 -0.042614
19990921 -0.010328 -0.020811 -0.026706
19990922 -0.009528 0.005593 0.02439
19990923 -0.007787 -0.03337 0.095238
19990924 0.007387 -0.003452 0.038043
19990927 -0.010082 -0.011547 -0.020942
19990928 0.006019 -0.008178 0.112299
19990929 -0.016567 0.029446 -0.040865
19990930 0.010763 0.003432 -0.006266
19991001 -0.026852 -0.020525 -0.032787
19991004 0.047098 0.025611 -0.029987
19991005 0.022717 -0.009081 -0.02957
19991006 0.042914 0.036655 0.063712
19991007 -0.004266 -0.012155 -0.018229
19991008 0.026135 0.013423 0.023873
19991011 -0.005428 0.032009 -0.011658
19991012 -0.024349 -0.050267 -0.02228
19991013 -0.022375 0.019144 -0.030831
19991014 0 -0.016575 0.001383
19991015 -0.049296 0.007865 -0.027624
19991018 0.021296 -0.012263 -0.019886
19991019 0.014506 -0.006772 0.008696
19991020 0.034853 -0.018182 0.037356
19991021 0.000864 -0.028704 0.041551
19991022 0.025884 0.058753 -0.005319
19991025 -0.035324 -0.02265 0.018717
19991026 0.00959 0.02781 0.026247
19991027 0.040587 -0.001127 0.017903
19991028 0.06888 -0.011287 0.045226
19991029 -0.043478 0.010274 0.045673
19991101 -0.032468 -0.012429 -0.004598
19991102 -0.010067 0.026316 0
19991103 -0.00339 0.010033 -0.016166
19991104 -0.004677 -0.036424 -0.002347
19991105 0.023494 0.003436 0.082353
19991108 -0.018781 -0.012557 0.006522
19991109 -0.005955 -0.003468 0.00432
19991110 -0.007274 -0.00232 -0.025806
19991111 0.005172 0.023256 0
19991112 0.058319 0 -0.002208
19991115 0.019449 0.010227 -0.002212
19991116 0.014308 0.022497 0.006652
19991117 -0.030564 -0.025303 0.017621
19991118 0.001617 0.010158 0.04329
19991119 0.000807 -0.12067 -0.058091
19991122 0.003629 0.021601 -0.022026
19991123 -0.000804 -0.001244 -0.027027
19991124 -0.015682 -0.032379 0.018519
19991126 -0.002451 -0.009009 -0.027273
19991129 -0.031532 -0.04026 -0.002336
19991130 0.023679 0.00406 -0.004684
19991201 0.0095 0.012129 0
19991202 0.005728 0.011984 0.042353
19991203 0.023596 0.013158 0.004515
19991206 0.009539 -0.01039 -0.031461
19991207 0.000787 -0.040682 0.00464
19991208 -0.003934 -0.012312 -0.046189
19991209 0.009874 0.015235 -0.067797
19991210 0.049668 0.0191 0.051948
19991213 -0.008569 -0.014726 0
19991214 -0.034949 0.002717 -0.022222
19991215 -0.014408 -0.006775 0.020202
19991216 -0.035164 0.028649 0
19991217 0.01638 -0.046419 0.034653
19991220 0.00282 0.004172 -0.004785
19991221 0.014464 -0.01662 -0.012019
19991222 -0.015446 -0.022535 -0.007299
19991223 0.02494 0.033141 -0.009804
19991227 -0.006279 0.036262 -0.014851
19991228 0.022117 0.006729 0.012563
19991229 0.023184 -0.005348 -0.019851
19991230 0.001511 -0.010753 -0.022785
19991231 0.003017 0.023098 0.005181
20000103 -0.054135 0.033201 0.016753
20000104 -0.037758 -0.012853 -0.031686
20000105 -0.025361 0.023438 0.013089
20000106 0.020374 0.050891 0.036176
20000107 0.014559 0.032688 -0.004988
20000110 0.01394 -0.032825 0.042607
20000111 0.0093 -0.015758 -0.028846
20000112 -0.005208 0.017241 0.002475
20000113 0.005236 0.010896 0.071605
20000114 0.022436 -0.00479 -0.025346
20000118 -0.049765 -0.03225 -0.014184
20000119 -0.01732 -0.012516 -0.021583
20000120 0.0235 -0.04436 -0.017157
20000121 -0.00492 0.005305 -0.003741
20000124 0.00206 -0.043536 -0.01627
20000125 0.041941 -0.037241 0.058524
20000126 0.008682 0.035817 0.115385
20000127 0.019953 -0.013831 -0.00431
20000128 -0.028769 -0.023843 0.032468
20000131 0.041074 -0.024425 0.073375
20000201 0.025797 0.017673 0.009766
20000202 -0.028476 0.005789 -0.015474
20000203 -0.007994 -0.025899 -0.011788
20000204 -0.008826 0 0.093439
20000207 0.006194 -0.025111 -0.003636
20000208 0.003463 -0.006061 0.021898
20000209 -0.039494 -0.045732 -0.014286
20000210 -0.013174 -0.027157 -0.072464
20000211 -0.006472 -0.054187 0.027344
20000214 0.003257 0.072917 0.032319
20000215 0.033279 0.035599 0.020258
20000216 -0.033189 -0.020312 -0.012635
20000217 -0.038391 -0.012759 0.012797
20000218 -0.068019 -0.025848 -0.043321
20000222 0.009066 0.016584 0.001887
20000223 -0.007188 -0.013051 0.050847
20000224 -0.058824 -0.041322 0.005376
20000225 -0.040385 -0.006897 -0.037433
20000228 0.063126 -0.012153 0.009259
20000229 0.011781 -0.01406 0.031193
20000301 0.009781 -0.005348 -0.010676
20000302 -0.014299 -0.012545 -0.043165
20000303 -0.000468 0.056261 0.118421
20000306 -0.031835 0.008591 -0.035294
20000307 -0.022244 -0.078365 -0.04878
20000308 -0.028684 0.033272 -0.007326
20000309 0 0.008945 0.066421
20000310 0.032077 0.012411 -0.013841
20000313 -0.000987 -0.001751 -0.024561
20000314 0.014815 0.005263 -0.03777
20000315 0.03455 0.068063 0.052336
20000316 0.081844 0.063725 0.090586
20000317 -0.00087 -0.032258 -0.034202
20000320 -0.011314 -0.022222 -0.05059
20000321 0.027289 0.034091 0.108348
20000322 0.012853 -0.021978 0.003205
20000323 0.055838 0.016051 0.00639
20000324 -0.002404 -0.00158 -0.019048
20000327 -0.032932 -0.011076 0.012945
20000328 0.013289 -0.0192 -0.030351
20000329 -0.005738 0.017945 0.046129
20000330 -0.017312 0.051282 0.001575
20000331 -0.000419 -0.03811 0.127358
20000403 0.044062 0.061807 -0.075314
20000404 -0.054662 0.037313 0.048265
20000405 -0.017007 -0.023022 -0.089209
20000406 -0.024221 -0.002946 -0.050553
20000407 -0.013741 -0.022157 0.066556
20000410 0.029663 0.001511 -0.085803
20000411 0.013968 0.015083 0.035836
20000412 0.038313 0.032689 -0.008237
20000413 -0.031509 -0.033094 0.058555
20000414 -0.082192 -0.035714 -0.116516
20000417 0 0.010802 0.026643
20000418 0.04431 -0.016794 0.036332
20000419 -0.003126 -0.057143 -0.005008
20000420 0.02681 0.009967 0.005034
20000424 0.049388 0.026316 0.066778
20000425 0.052895 0.028846 -0.043818
20000426 -0.021361 -0.003115 -0.027823
20000427 0.002425 0.003125 -0.001684
20000428 -0.035484 -0.017134 -0.184233
20000501 0.012542 -0.015848 0.023256
20000502 -0.021883 0.020934 0.032323
20000503 -0.040946 -0.018927 -0.003914
20000504 0.019366 -0.024116 0.051081
20000505 0.009499 0.029654 0.007477
20000508 0.040633 -0.0032 -0.020408
20000509 -0.026716 -0.024077 0.011364
20000510 -0.03125 0.009868 -0.024345
20000511 0.035745 0.011401 0.021113
20000512 0.015152 0.014493 -0.020677
20000515 0.038557 0.030159 -0.001919
20000516 -0.020359 -0.007704 0.023077
20000517 -0.003667 -0.006211 -0.024436
20000518 0.017178 -0.029687 -0.05395
20000519 -0.028951 0.032206 -0.01833
20000522 -0.013665 0.00312 -0.008299
20000523 0.02267 -0.017107 -0.052301
20000524 -0.014778 0.004747 0.094923
20000525 -0.0225 -0.040945 -0.03629
20000526 0.003836 0.001642 -0.025105
20000530 0.031847 0.004918 0.135193
20000531 0.066667 -0.001631 0.028355
20000601 -0.002315 0.039216 0.014706
20000602 0.048724 0.033019 0.067029
20000605 -0.015487 -0.025875 -0.032258
20000606 -0.029213 -0.023438 0.052632
20000607 0.045139 -0.0064 -0.078333
20000608 -0.024363 -0.017713 0.0217
20000609 -0.022701 0.003279 0.012389
20000612 -0.002323 0.009804 -0.052448
20000613 0.015134 -0.037217 0.060886
20000614 0.043578 0.011765 -0.02087
20000615 -0.024176 -0.019934 -0.01421
20000616 -0.072072 -0.025424 0.005405
20000619 0.038835 -0.022609 0.007168
20000620 0.009346 -0.001779 0.010676
20000621 -0.025463 0.001783 0.019366
20000622 0.015439 -0.019573 -0.010363
20000623 0.003509 0.009074 -0.013962
20000626 0.047786 0.001799 0.026549
20000627 -0.035595 0.025135 0.034483
20000628 -0.018454 0.012259 0.018333
20000629 -0.014101 -0.034602 -0.008183
20000630 -0.005959 -0.028674 0.008251
20000703 0.004796 0.060886 0.008183
20000705 -0.003246 -0.02087 -0.00487
20000706 -0.003597 -0.010657 -0.006525
20000707 0.034898 -0.023339 0.098522
20000710 0.02093 0.007353 -0.049327
20000711 -0.014806 0.054745 0.004717
20000712 0.017341 0.00346 0.00939
20000713 -0.001136 -0.008621 -0.007752
20000714 0.03868 -0.012174 0
20000717 -0.016429 0.007042 -0.004688
20000718 -0.016704 0.065455 -0.00157
20000719 -0.002265 0.004967 0
20000720 0.036322 -0.023064 0.006289
20000721 0.038335 -0.015177 -0.001563
20000724 -0.03903 -0.006849 -0.005477
20000725 -0.018661 -0.010345 -0.029111
20000726 -0.004474 -0.031359 -0.02269
20000727 0.048315 0 -0.041459
20000728 -0.043944 -0.019784 0.024221
20000731 0.016816 0 0.013514
20000801 0.002205 0.007339 0.011667
20000802 0.009901 0.020036 0.034596
20000803 0.010893 0.001786 0.020701
20000804 0.033405 -0.005348 0.040562
20000807 -0.01877 0.051971 0.026987
20000808 -0.001063 0.039182 0.00146
20000809 0.014894 -0.014754 0.002915
20000810 -0.015723 -0.001664 -0.002907
20000811 0.018104 0.036667 -0.004373
20000814 0.007322 0.004823 -0.01757
20000815 -0.016615 -0.0096 -0.028316
20000816 -0.031679 0 -0.007669
20000817 0.02072 -0.011309 -0.054096
20000818 0 -0.001634 -0.042484
20000821 0.010684 -0.013093 0.017065
20000822 -0.020085 0.003317 0.006711
20000823 -0.010787 -0.014876 -0.045
20000824 -0.014177 0.006711 0.008726
20000825 0.001106 0.003333 -0.010381
20000828 0.058564 -0.011628 0.008741
20000829 -0.010438 0.038655 -0.025997
20000830 -0.005274 -0.027508 0.044484
20000831 0.003181 -0.021631 -0.001704
20000901 -0.011628 0.013605 0.02901
20000905 0.02246 0.021812 -0.001658
20000906 -0.001046 0.01642 -0.018272
20000907 -0.006283 -0.016155 0.018613
20000908 0.022129 -0.006568 -0.036545
20000911 0.019588 0.013223 0.003448
20000912 0.001011 -0.008157 0.027491
20000913 -0.009091 0.018092 0.041806
20000914 -0.008155 0.008078 -0.025682
20000915 -0.024666 -0.046474 0.021417
20000918 -0.022129 -0.030252 -0.031855
20000919 0.009698 -0.015598 0.002915
20000920 -0.009605 -0.005282 0.006645
20000921 0.00431 -0.012389 0.019802
20000922 0.008584 0.007168 0.012945
20000925 0.021277 0.010676 0.020767
20000926 -0.007292 -0.014085 -0.010955
20000927 -0.01574 -0.0625 0.009494
20000928 0.039446 0.03619 0.029781
20000929 -0.003077 -0.007353 -0.024353
20001002 0.037037 0.014815 0.0078
20001003 -0.02381 0.023723 -0.021672
20001004 -0.008862 0.001783 0.031646
20001005 0.002053 -0.003559 0.006135
20001006 -0.050205 -0.014286 -0.019817
20001009 -0.022654 0.001812 0.007776
20001010 -0.019868 -0.034358 0.001543
20001011 -0.02027 -0.003745 -0.012327
20001012 -0.045977 -0.041353 -0.043682
20001013 0.039759 -0.005882 0.02447
20001016 0.033604 0.001972 0.033439
20001017 -0.035874 -0.03937 -0.020031
20001018 0.009302 -0.011393 0.014151
20001019 0.03341 0.023061 0.017054
20001020 0 0.006148 -0.016768
20001023 -0.0301 0.02444 -0.007752
20001024 0.050575 0.013917 0.009375
20001025 0.004376 -0.017647 0.00774
20001026 -0.051198 0.015968 0.00768
20001027 0.025258 0.033399 -0.030488
20001030 0.047032 0.062738 0.04717
20001031 0.026738 0.003578 0.073574
20001101 -0.027083 -0.008913 -0.002797
20001102 -0.012848 0.001799 0.009818
20001103 0.034707 0 0.040278
20001106 0.016771 0.039497 -0.001335
20001107 0.005155 -0.001727 0.006684
20001108 -0.048205 0.008651 -0.047809
20001109 0.00431 0.003431 0
20001110 -0.020386 -0.022222 -0.006974
20001113 -0.020811 0.012238 -0.002809
20001114 0.025727 -0.003454 0.060563
20001115 0.006543 0.017331 0.010624
20001116 0.001083 -0.010221 -0.027595
20001117 -0.029221 0.017212 0.036486
20001120 -0.061315 0.006768 0.040417
20001121 0.011876 0.028571 -0.048872
20001122 -0.026995 -0.011438 0.02635
20001124 -0.008444 0.028099 -0.014121
20001127 0.03163 0.0209 -0.061198
20001128 0.040094 -0.017323 -0.011789
20001129 0.03288 0.028846 0.021404
20001130 -0.035126 -0.020249 0.001718
20001201 -0.012514 0.034976 -0.028807
20001204 -0.041475 0.064516 0.014124
20001205 0.038462 0.001443 0.030641
20001206 -0.00463 -0.041787 -0.005405
20001207 -0.005814 0 0.017663
20001208 0.025731 0.001504 0.001335
20001211 0.030787 0.018018 -0.06
20001212 -0.005531 0 0.019858
20001213 0.005562 -0.016224 -0.019471
20001214 -0.018805 -0.023988 -0.011348
20001215 -0.014656 0.003072 -0.038737
20001218 0.038902 0.036753 0.040299
20001219 -0.031938 0.013294 0.035868
20001220 -0.063709 0.004373 -0.024931
20001221 0.021871 0.039187 0.021307
20001222 0.011891 0.041899 0.006954
20001226 0.001175 0.024129 -0.005525
20001227 -0.001174 -0.005236 -0.016667
20001228 0.015276 0.002632 0.002825
20001229 0.017361 -0.006562 -0.002817
20010102 -0.05347 -0.021136 -0.049435
20010103 0.07726 0.004049 0.028232
20010104 -0.031285 0.047043 -0.049133
20010105 -0.048443 -0.057766 0.015198
20010108 -0.050909 -0.002725 0.016467
20010109 -0.040868 -0.001366 -0.0162
20010110 -0.005326 -0.01368 0.053892
20010111 0.025435 0.008322 0.007102
20010112 0.001305 -0.038514 0.009873
20010116 0.007823 0.02289 0.001397
20010117 0.023286 0.006993 0
20010118 0.003793 -0.064667 0.013947
20010119 -0.020151 -0.026946 0.019257
20010122 -0.07455 0.006154 -0.022942
20010123 0.033333 0.018349 0.024862
20010124 -0.005376 0.013514 -0.06469
20010125 0.002703 0.026667 -0.012968
20010126 0.005391 -0.001443 0.065693
20010129 0.021126 -0.003468 0.079452
20010130 0.006301 0.030162 -0.010152
20010131 -0.016907 -0.004054 0.024359
20010201 0.00828 0.002488 -0.017522
20010202 0.013055 -0.001354 -0.024204
20010205 0.006236 -0.011294 0.001305
20010206 -0.029333 -0.005712 0.040417
20010207 -0.013194 0.002068 0
20010208 0.015743 -0.00986 -0.025063
20010209 -0.001486 -0.004169 -0.006427
20010212 0.022964 0.003023 0.034929
20010213 -0.027645 0.003014 -0.0275
20010214 -0.002993 -0.007859 -0.015424
20010215 0.004717 0.027959 0.028721
20010216 0.007682 -0.010199 -0.006345
20010220 -0.02626 -0.042821 -0.012771
20010221 -0.043715 -0.020096 -0.009056
20010222 0.012054 -0.006592 -0.010444
20010223 0.008989 -0.014746 0.006596
20010226 0.006681 0.038414 0.002621
20010227 0.00531 0.020658 0.00915
20010228 -0.034331 -0.020946 -0.012953
20010301 -0.020055 0.009615 -0.001312
20010302 0.017442 0.01619 -0.001314
20010305 -0.010514 0.03866 -0.017105
20010306 -0.00693 0.00406 0.001339
20010307 0.028146 0.051449 -0.012032
20010308 0.005204 0.021154 0.02977
20010309 -0.038262 -0.019879 -0.009198
20010312 -0.054528 -0.040137 -0.046419
20010313 0.030446 0.024244 -0.004172
20010314 -0.075667 -0.027362 -0.03352
20010315 0.034304 0.004689 0.010116
20010316 -0.040703 -0.008889 0.002861
20010319 0.015191 0.012108 0.011412
20010320 -0.038442 -0.028135 -0.023977
20010321 -0.061175 -0.038523 -0.053468
20010322 -0.008288 -0.019203 -0.021374
20010323 0.060519 0.009669 0.020281
20010326 0.02663 0.02801 0.018349
20010327 0.049497 0.043316 -0.022523
20010328 -0.016141 0.015625 0.012289
20010329 -0.001282 -0.019341 0.018209
20010330 0.060062 -0.005379 0.011923
20010402 -0.038499 0.001352 0.013255
20010403 -0.043314 -0.051305 -0.02907
20010404 -0.045012 0.03297 -0.019461
20010405 0.058287 0.051206 0
20010406 -0.041765 -0.026868 -0.090076
20010409 0.011441 0.009652 0.037047
20010410 0.02801 0.016007 0.035465
20010411 0.007336 -0.012254 0.00625
20010412 0.019246 0.041427 -0.056398
20010416 -0.016841 -0.005531 0.015534
20010417 0.011679 -0.02139 0.01063
20010418 0.092355 0.059016 0.064905
20010419 0.008924 -0.008875 -0.005541
20010420 -0.033985 0.004195 -0.025436
20010423 -0.023855 0.007728 -0.030574
20010424 0.005925 0.001036 -0.033077
20010425 0.008589 0.035197 0.053567
20010426 0.019465 -0.013 -0.001258
20010427 0.043914 0.019453 -0.063508
20010430 -0.029721 -0.002186 0.041442
20010501 -0.004477 0.011554 0.034625
20010502 0.023432 -0.009453 -0.015485
20010503 -0.018039 -0.005169 -0.038559
20010504 0.032737 0.010192 0.002111
20010507 -0.014139 0.018991 -0.006319
20010508 -0.044645 0.006601 -0.014838
20010509 0.007264 0.002893 0.005917
20010510 0.029808 0.0275 -0.004813
20010511 -0.013305 -0.004305 0.01612
20010514 0.003312 -0.007143 0.021682
20010515 -0.01344 0.006058 0.011387
20010516 0.058795 0.052126 0.024565
20010517 0.001354 -0.011805 0.035464
20010518 -0.014878 0 -0.001447
20010521 0.029519 0.008145 0.019324
20010522 0.023561 0.008977 0.004739
20010523 -0.029316 -0.021352 -0.052359
20010524 -0.002237 -0.010909 0.014435
20010525 -0.028475 -0.007353 0.000491
20010529 -0.021232 0.021111 -0.025503
20010530 -0.003301 -0.031556 0.011072
20010531 -0.003549 0.014232 -0.028372
20010601 0.006173 0.01274 0.003586
20010604 0.008495 0.016955 -0.020419
20010605 -0.003276 0.001972 0.026576
20010606 -0.016901 -0.022186 -0.024366
20010607 -0.017192 0.006038 0.009365
20010608 -0.00413 -0.011822 -0.018557
20010611 0.010246 -0.017854 0.009454
20010612 0.009418 0.008621 0.009886
20010613 -0.006699 0.004088 0.007728
20010614 -0.042148 0.002776 -0.018916
20010615 -0.02087 -0.000738 0.018239
20010618 -0.010272 0.005725 0.008188
20010619 0.002595 -0.010466 0.03198
20010620 0.021222 0.029876 0.031481
20010621 0.023822 0.008829 0.089652
20010622 0.008663 -0.023933 -0.035449
20010625 -0.02135 -0.036597 0.005898
20010626 -0.022066 0.010446 -0.01263
20010627 -0.019231 -0.017105 0.001827
20010628 0.031895 -0.031172 0.032832
20010629 -0.016975 -0.012041 0.015453
20010702 0.018299 0.038162 -0.01
20010703 0.012908 0.000577 -0.034256
20010705 -0.011267 -0.005963 -0.003183
20010706 -0.030641 -0.040248 -0.065693
20010709 -0.00209 0.016129 0.022461
20010710 -0.031414 -0.032143 -0.024355
20010711 0.008919 0.00451 0.012726
20010712 0.031878 0.059184 0.000483
20010713 0.021807 0.011175 -0.009662
20010716 -0.025407 -0.040206 -0.018049
20010717 0.010949 0.063133 -0.003477
20010718 -0.033007 -0.009711 -0.025424
20010719 0.013333 0.028853 -0.005627
20010720 -0.000526 -0.00369 0.041667
20010723 0.003949 -0.001852 -0.028148
20010724 -0.008655 -0.018553 0.008638
20010725 0.006878 0.00189 -0.012091
20010726 0.018655 -0.008113 -0.031107
20010727 0.018571 0.003424 -0.013158
20010730 0.005318 0.015166 -0.018667
20010731 0.015869 0.028945 -0.019565
20010801 0.028763 -0.020871 0.02051
20010802 -0.001687 0.012048 0.002716
20010803 -0.023419 -0.002747 -0.033586
20010806 -0.016564 -0.027548 -0.017937
20010807 0.009804 0.00661 0.019977
20010808 -0.00946 -0.010131 -0.015109
20010809 0.000503 -0.007771 0.031818
20010810 0.001005 0.024833 -0.011013
20010813 0.00276 0.006897 0.020601
20010814 -0.014264 -0.002962 -0.017458
20010815 -0.018533 0.025436 -0.012215
20010816 -0.013192 -0.019555 0.016301
20010817 -0.017038 -0.007387 -0.006637
20010820 0.017333 -0.018605 0.041203
20010821 -0.040629 -0.006446 0.007487
20010822 0.017213 0.016981 -0.002654
20010823 0.012356 -0.028143 -0.00479
20010824 0.013797 0.008494 -0.008021
20010827 -0.004711 0.004211 -0.002156
20010828 -0.026821 -0.0061 -0.036197
20010829 -0.00027 -0.018604 -0.020179
20010830 -0.028378 -0.022865 -0.001716
20010831 0.013074 0 -0.033238
20010904 0.000824 0.0076 -0.023118
20010905 0.007682 -0.001588 0.008495
20010906 -0.039477 0.016501 -0.022864
20010907 -0.019274 -0.044397 -0.007389
20010910 0.01185 -0.015555 0.020471
20010917 -0.135961 -0.070894 -0.057143
20010918 -0.094876 0.022824 0.005803
20010919 -0.050402 -0.028659 -0.019231
20010920 0.007692 -0.060811 -0.041176
20010921 -0.022519 0.056355 -0.026585
20010924 0.07419 0.046992 0.048319
20010925 -0.021083 0.005638 0.005344
20010926 0.012997 -0.049806 -0.069767
20010927 0.006598 -0.006127 0.037857
