date             gm           vw            ew            sp
19891130       0.005634      0.017815     -0.005800      0.016541
19891229      -0.037037      0.018295     -0.012375      0.021417
19900131      -0.014793     -0.070115     -0.046408     -0.068817
19900228       0.096096      0.014901      0.015434      0.008539
19900330       0.022284      0.024140      0.021315      0.024255
19900430      -0.035422     -0.028286     -0.028117     -0.026887
19900531       0.115819      0.088936      0.045675      0.091989
19900629      -0.020566     -0.004196      0.005359     -0.008886
19900731      -0.020997     -0.009405     -0.025732     -0.005223
19900831      -0.131367     -0.091896     -0.108911     -0.094314
19900928      -0.088050     -0.053843     -0.080468     -0.051184
19901031       0.013793     -0.012504     -0.057155     -0.006698
19901130       0.013605      0.065744      0.035468      0.059934
19901231      -0.058219      0.029513     -0.004526      0.024828
19910131       0.054545      0.049078      0.084175      0.041518
19910228       0.100690      0.075847      0.133898      0.067281
19910328      -0.044304      0.028923      0.078293      0.022203
19910430      -0.052980      0.003322      0.031962      0.000346
19910531       0.217483      0.040732      0.031385      0.038577
19910628      -0.055072     -0.044029     -0.031773     -0.047893
19910731      -0.024540      0.046795      0.034202      0.044859
19910830      -0.033962      0.026819      0.027507      0.019649
19910930      -0.016447     -0.010975      0.008131     -0.019144
19911031      -0.060201      0.017789      0.024639      0.011860
19911129      -0.113167     -0.037275     -0.023735     -0.043928
19911231      -0.060976      0.106778      0.035353      0.111588
19920131       0.121212     -0.001182      0.149970     -0.019900
19920228       0.170656      0.013354      0.052124      0.009565
19920331      -0.023333     -0.023700     -0.014169     -0.021832
19920430       0.133106      0.013419     -0.033262      0.027893
19920529      -0.039157      0.006439      0.005678      0.000964
19920630       0.113480     -0.019287     -0.039215     -0.017359
19920731      -0.053977      0.039900      0.027617      0.039374
19920831      -0.158559     -0.020822     -0.023900     -0.023998
19920930      -0.072202      0.012449      0.011050      0.009106
19921030      -0.042802      0.010986      0.016224      0.002106
19921130       0.055285      0.040193      0.066686      0.030262
19921231       0.000000      0.017773      0.035678      0.010108
19930129       0.170543      0.012643      0.067612      0.007046
19930226      -0.007947      0.005402     -0.007198      0.010484
19930331       0.010067      0.025075      0.031411      0.018697
19930430       0.086379     -0.025400     -0.011112     -0.025417
19930528      -0.013456      0.029598      0.038740      0.022717
19930630       0.109034      0.005440      0.013419      0.000755
19930730       0.089888     -0.000795      0.013719     -0.005327
19930831      -0.029381      0.039478      0.039698      0.034432
19930930      -0.109333      0.000641      0.025507     -0.009988
19931029       0.140719      0.018065      0.040518      0.019393
19931130       0.111811     -0.017606     -0.024467     -0.012911
19931231       0.040284      0.019513      0.016190      0.010091
19940131       0.116173      0.031467      0.049166      0.032501
19940228      -0.045714     -0.024218     -0.009952     -0.030045
19940331      -0.075107     -0.045797     -0.045962     -0.045746
19940429       0.053364      0.009476     -0.011728      0.011531
19940531      -0.049339      0.009359     -0.000831      0.012419
19940630      -0.065116     -0.027909     -0.028182     -0.026812
19940729       0.022388      0.030632      0.015778      0.031467
19940831      -0.018005      0.042598      0.036756      0.037643
19940930      -0.067164     -0.018364      0.004865     -0.026898
19941031      -0.157333      0.014520     -0.003305      0.020834
19941130      -0.029747     -0.037218     -0.040741     -0.039505
19941230       0.104918      0.012608     -0.013424      0.012299
19950131      -0.077151      0.020400      0.027860      0.024278
19950228       0.101608      0.039613      0.028369      0.036074
19950331       0.032258      0.027041      0.019518      0.027329
19950428       0.025568      0.025048      0.026976      0.027960
19950531       0.070360      0.034007      0.020270      0.036312
19950630      -0.023438      0.031173      0.049917      0.021279
19950731       0.040000      0.040783      0.054708      0.031776
19950831      -0.027179      0.009306      0.032043     -0.000320
19950929      -0.005305      0.036362      0.026400      0.040098
19951031      -0.066667     -0.011318     -0.041473     -0.004979
19951130       0.115429      0.042705      0.016659      0.041049
19951229       0.090206      0.015190      0.008928      0.017444
19960131      -0.004728      0.028146      0.034657      0.032617
19960229      -0.018527      0.016309      0.032305      0.006934
19960329       0.039024      0.010929      0.024085      0.007917
19960430       0.018779      0.025509      0.058049      0.013431
19960531       0.023502      0.026800      0.062615      0.022853
19960628      -0.049887     -0.008299     -0.032167      0.002257
19960731      -0.069212     -0.053819     -0.079602     -0.045748
19960830       0.026154      0.032464      0.045634      0.018814
19960930      -0.032746      0.053014      0.028753      0.054173
19961031       0.117188      0.013632     -0.020842      0.026131
19961129       0.082051      0.065501      0.024696      0.073376
19961231      -0.032538     -0.011358     -0.002604     -0.021505
19970131       0.058296      0.053449      0.063831      0.061317
19970228      -0.010593     -0.001144     -0.010299      0.005928
19970331      -0.043197     -0.044820     -0.049224     -0.042614
19970430       0.045147      0.042303     -0.021596      0.058406
19970530       0.000000      0.071624      0.085194      0.058577
19970630      -0.028322      0.044145      0.043145      0.043453
19970731       0.109865      0.076503      0.048824      0.078123
19970829       0.022222     -0.036267      0.027605     -0.057446
19970930       0.066733      0.058433      0.081737      0.053154
19971031      -0.041083     -0.034528     -0.026145     -0.034478
19971128      -0.042843      0.030458     -0.022063      0.044587
19971231       0.058036      0.017771     -0.023875      0.015732
19980130      -0.046296      0.004529      0.015367      0.010150
19980227       0.198490      0.073230      0.060451      0.070449
19980331      -0.017226      0.051322      0.046884      0.049946
19980430      -0.005535      0.010862      0.023243      0.009076
19980529       0.074212     -0.025755     -0.042571     -0.018826
19980630      -0.070435      0.031954     -0.029149      0.039438
19980731       0.082320     -0.023264     -0.050546     -0.011615
19980831      -0.189283     -0.157667     -0.196383     -0.145797
19980930      -0.055914      0.063836      0.043245      0.062396
19981030       0.151481      0.074357      0.037827      0.080294
19981130       0.113749      0.061986      0.075912      0.059126
19981231       0.024150      0.063053      0.018861      0.056375
19990129       0.254148      0.038346      0.064848      0.041009
19990226      -0.074513     -0.038105     -0.042172     -0.032283
19990331       0.054353      0.037862     -0.001373      0.038794
19990430       0.023707      0.049000      0.083900      0.037944
19990528      -0.071253     -0.020720      0.025134     -0.024970
19990630      -0.043478      0.051020      0.038392      0.054438
19990730      -0.073864     -0.030635      0.007271     -0.032046
19990831       0.092025     -0.009983     -0.030607     -0.006254
19990930      -0.050000     -0.022867     -0.014250     -0.028552
19991029       0.119166      0.062048     -0.001351      0.062539
19991130       0.029281      0.036856      0.091409      0.019062
19991231       0.009549      0.083925      0.084830      0.057844
20000131       0.108341     -0.039753      0.050610     -0.050904
20000229      -0.049651      0.031770      0.120436     -0.020108
20000331       0.088743      0.053552     -0.000429      0.096720
20000428       0.130566     -0.059467     -0.088504     -0.030796
20000531      -0.240320     -0.039047     -0.057324     -0.021915
20000630      -0.177876      0.051649      0.079240      0.023934
20000731      -0.019376     -0.017105     -0.019355     -0.016341
20000831       0.276619      0.075811      0.059257      0.060699
20000929      -0.099567     -0.051139     -0.040102     -0.053483
20001031      -0.044231     -0.024564     -0.066807     -0.004949
20001130      -0.195171     -0.102546     -0.118559     -0.080069
20001229       0.029040      0.020346     -0.007035      0.004053
20010131       0.054233      0.039533      0.225012      0.034637
20010228       0.002235     -0.099267     -0.074508     -0.092291
20010330      -0.027569     -0.070290     -0.072716     -0.064205
20010430       0.057088      0.083904      0.076441      0.076814
20010531       0.047254      0.010561      0.062217      0.005090
20010629       0.130931     -0.017481      0.007720     -0.025004
20010731      -0.011655     -0.018321     -0.028407     -0.010772
20010831      -0.131289     -0.059080     -0.035009     -0.064108
20010928      -0.216438     -0.091540     -0.127801     -0.081723
20011031      -0.036830      0.027967      0.078103      0.018099
20011130       0.214908      0.078734      0.080809      0.075176
20011231      -0.022133      0.017841      0.057742      0.007574
20020131       0.052263     -0.016060      0.018185     -0.015574
20020228       0.045757     -0.021705     -0.033060     -0.020766
20020328       0.140997      0.044693      0.074666      0.036739
20020430       0.061208     -0.049649     -0.003169     -0.061418
20020531      -0.023383     -0.010458     -0.015511     -0.009081
20020628      -0.139984     -0.070243     -0.067310     -0.072465
20020731      -0.129093     -0.081137     -0.107499     -0.078995
20020830       0.038883      0.007984      0.006339      0.004881
20020930      -0.187213     -0.099975     -0.084490     -0.110013
20021031      -0.145244      0.074958      0.042772      0.086436
20021129       0.209023      0.061276      0.117775      0.057070
20021231      -0.071537     -0.053309     -0.040159     -0.060333
20030131      -0.014379     -0.023430      0.006068     -0.027415
20030228      -0.056702     -0.015408     -0.021423     -0.017004
20030331      -0.004442      0.010333      0.009434      0.008358
20030430       0.072278      0.082797      0.098222      0.081044
20030530      -0.006103      0.063507      0.133177      0.050899
20030630       0.018964      0.016332      0.049741      0.011322
20030731       0.039722      0.023130      0.061927      0.016224
20030829       0.111408      0.024908      0.047429      0.017873
20030930      -0.004136     -0.009102      0.025239     -0.011944
20031031       0.042512      0.060331      0.080930      0.054962
20031128       0.014296      0.016607      0.038147      0.007129
20031231       0.248247      0.045532      0.038915      0.050765
20040130      -0.069663      0.023064      0.065762      0.017276
20040227      -0.021337      0.015467      0.013720      0.012209
20040331      -0.021197     -0.010685      0.006293     -0.016359
20040430       0.006794     -0.024230     -0.043590     -0.016791
20040528      -0.032265      0.014127      0.002592      0.012083
20040630       0.026438      0.021563      0.022729      0.017989
20040730      -0.074050     -0.037681     -0.051082     -0.034291
20040831      -0.030830      0.002714     -0.004725      0.002287
20040930       0.028322      0.020555      0.041594      0.009364
20041029      -0.092514      0.017810      0.020836      0.014014
20041130       0.014008      0.048243      0.079929      0.038595
20041231       0.038093      0.035180      0.052920      0.032458
20050131      -0.081128     -0.026557     -0.029278     -0.025290
20050228      -0.017930      0.022695      0.016636      0.018903
20050331      -0.175596     -0.016937     -0.031835     -0.019118
20050429      -0.092208     -0.025182     -0.046509     -0.020109
20050531       0.200525      0.037916      0.043808      0.029952
20050630       0.078338      0.011531      0.032155     -0.000143
20050729       0.082941      0.043331      0.058745      0.035968
20050831      -0.057849     -0.005943     -0.007217     -0.011222
20050930      -0.104709      0.010609      0.010543      0.006949
20051031      -0.104868     -0.020784     -0.033876     -0.017741
20051130      -0.182482      0.040406      0.034319      0.035186
20051230      -0.113242      0.003476      0.013479     -0.000952
20060131       0.238929      0.040112      0.076354      0.025467
20060228      -0.145470     -0.001644      0.004836      0.000453
20060331       0.047267      0.019060      0.036979      0.011065
20060428       0.075693      0.012968      0.009761      0.012187
20060531       0.187937     -0.031042     -0.044331     -0.030917
20060630       0.106201     -0.000396     -0.008440      0.000087
20060731       0.081907     -0.001902     -0.022671      0.005086
20060831      -0.086876      0.025085      0.025128      0.021274
20060929       0.139822      0.019452      0.009015      0.024566
20061031       0.049910      0.037086      0.046300      0.031508
20061130      -0.155785      0.023716      0.031255      0.016467
20061229       0.050975      0.010823      0.014746      0.012616
20070131       0.069010      0.019438      0.022322      0.014059
20070228      -0.021011     -0.013998      0.002148     -0.021846
20070330      -0.039498      0.012949      0.006574      0.009980
20070430       0.019256      0.039893      0.026955      0.043291
20070531      -0.031700      0.038894      0.023024      0.032549
20070629       0.260420     -0.014758     -0.007879     -0.017816
20070731      -0.142857     -0.031753     -0.043616     -0.031982
20070831      -0.043519      0.011623     -0.011784      0.012864
20070928       0.193884      0.040903      0.025300      0.035794
20071031       0.067847      0.025842      0.017265      0.014822
20071130      -0.232457     -0.049279     -0.077076     -0.044043
20071231      -0.165605     -0.004342     -0.010877     -0.008628
20080131       0.133387     -0.062305     -0.044591     -0.061163
20080229      -0.165899     -0.022040     -0.021881     -0.034761
20080331      -0.181701     -0.010470     -0.025971     -0.005960
20080430       0.217848      0.051144      0.031213      0.047547
20080530      -0.252155      0.023825      0.032178      0.010674
20080630      -0.327485     -0.078625     -0.087065     -0.085962
20080731      -0.037391     -0.013150     -0.000994     -0.009859
20080829      -0.096658      0.011042      0.014066      0.012191
20080930      -0.055000     -0.098060     -0.120888     -0.090791
20081031      -0.387302     -0.184726     -0.206004     -0.169425
20081128      -0.094991     -0.085206     -0.136597     -0.074849
20081231      -0.389313      0.021482      0.043083      0.007822
