date            ibmrtn           vwrtn         ewrtn         sprtn
19310131       0.025000      0.062534      0.141828      0.048892
19310228       0.125203      0.109401      0.156753      0.114357
19310331      -0.049133     -0.064041     -0.061871     -0.069158
19310430      -0.023006     -0.098484     -0.150870     -0.095866
19310529      -0.211931     -0.132915     -0.140379     -0.137177
19310630       0.191235      0.137961      0.182170      0.139017
19310731      -0.091216     -0.065034     -0.070214     -0.074174
19310831       0.070632      0.002348     -0.018724      0.009468
19310930      -0.229167     -0.290070     -0.312753     -0.299423
19311031       0.114155      0.079160      0.105333      0.084449
19311130      -0.016393     -0.088776     -0.088216     -0.097816
19311231      -0.074687     -0.133406     -0.187239     -0.145263
19320130      -0.045564     -0.010780      0.085920     -0.028325
19320229       0.023869      0.056004      0.022732      0.050697
19320331      -0.042945     -0.108741     -0.119564     -0.118215
19320430      -0.166667     -0.179220     -0.181056     -0.202462
19320531      -0.162500     -0.207520     -0.202303     -0.233276
19320630      -0.048507     -0.005089      0.041277     -0.008949
19320730       0.200803      0.337451      0.433499      0.376975
19320831       0.351171      0.366025      0.665936      0.375410
19320930       0.024752     -0.030885     -0.059442     -0.036949
19321031      -0.132353     -0.131180     -0.164793     -0.138614
19321130      -0.097458     -0.055696     -0.073874     -0.058908
19321231       0.145540      0.045762     -0.036622      0.051908
19330131       0.020833      0.009781      0.035883      0.007257
19330228      -0.167347     -0.150298     -0.155443     -0.184438
19330331       0.0            0.033990      0.100121      0.033569
19330429       0.470588      0.383683      0.518249      0.422222
19330531       0.081081      0.211855      0.605986      0.158654
19330630       0.137500      0.134354      0.226430      0.131743
19330731       0.029630     -0.096081     -0.092417     -0.087993
19330831       0.061151      0.121270      0.114552      0.114573
19330930      -0.094915     -0.104652     -0.150009     -0.113616
19331031      -0.016098     -0.083225     -0.107887     -0.088505
19331129       0.124158      0.099908      0.065094      0.102679
19331230      -0.011986      0.019984      0.017242      0.022267
19340131       0.029772      0.129779      0.315546      0.105941
19340228      -0.020408     -0.023275      0.010863     -0.036705
19340331      -0.065972      0.004782      0.008062     -0.000929
19340430       0.075188     -0.017934      0.000264     -0.026977
19340531      -0.066434     -0.070987     -0.107240     -0.081262
19340630       0.057116      0.025152      0.003578      0.020812
19340731      -0.043868     -0.108241     -0.186303     -0.115189
19340831       0.029963      0.059615      0.098561      0.054147
19340929       0.036364     -0.002997     -0.011748     -0.005464
19341031      -0.014184     -0.019316     -0.019230     -0.031868
19341130       0.111511      0.084073      0.128705      0.082860
19341231       0.016505      0.003899      0.014735     -0.004193
19350131      -0.006557     -0.032808     -0.029663     -0.042105
19350228       0.049505     -0.018599     -0.056016     -0.039560
19350330       0.010220     -0.037041     -0.073353     -0.030892
19350430       0.093480      0.089162      0.101628      0.095632
19350531      -0.008621      0.034776      0.024401      0.032328
19350629       0.034783      0.055268      0.040189      0.067850
19350731       0.033898      0.073647      0.110382      0.083089
19350831      -0.006831      0.026128      0.083084      0.021661
19350930      -0.013755      0.025872      0.023798      0.023852
19351031       0.014065      0.071339      0.082776      0.075065
19351130       0.012483      0.051857      0.145782      0.039326
19351231       0.014938      0.046096      0.060243      0.037066
19360131       0.024527      0.066080      0.150165      0.065525
19360229      -0.047880      0.025699      0.045619      0.016771
19360331       0.034483      0.009417      0.005947      0.025430
19360430      -0.092437     -0.080497     -0.122963     -0.077078
19360529       0.024691      0.050286      0.051218      0.045752
19360630       0.045181      0.025993     -0.000325      0.030556
19360731      -0.045058      0.064638      0.081930      0.068059
19360831       0.022831      0.010813      0.021447      0.008833
19360930       0.024182      0.014343      0.032668      0.001251
19361031       0.002565      0.069087      0.063755      0.074953
19361130       0.114035      0.033293      0.091427      0.004067
19361231      -0.001312      0.002066      0.027306     -0.005787
19370130      -0.044371      0.032524      0.076221      0.037835
19370227      -0.015939      0.013041      0.023904      0.014582
19370331      -0.045387     -0.003535      0.001065     -0.009397
19370430       0.016419     -0.074236     -0.101024     -0.083147
19370528      -0.070769     -0.008563     -0.024524     -0.010347
19370630       0.003311     -0.041592     -0.076702     -0.052891
19370731       0.070000      0.088881      0.099611      0.102597
19370831      -0.065421     -0.048620     -0.052749     -0.055359
19370930      -0.015000     -0.135401     -0.193182     -0.142145
19371030      -0.022222     -0.094675     -0.101549     -0.101744
19371130      -0.076923     -0.083731     -0.108639     -0.101133
19371231       0.047348     -0.040104     -0.099215     -0.050405
19380131       0.071298      0.007625      0.042060      0.013270
19380228       0.047782      0.057866      0.061061      0.060804
19380331      -0.100489     -0.237131     -0.285564     -0.250441
19380430       0.069231      0.145642      0.206200      0.141177
19380531       0.017986     -0.039230     -0.070462     -0.044330
19380630       0.095406      0.236062      0.306353      0.247033
19380730       0.065147      0.071869      0.121836      0.072664
19380831      -0.006116     -0.027202     -0.063787     -0.027419
19380930       0.012308      0.008559     -0.014633      0.014925
19381031       0.070552      0.077848      0.144539      0.075980
19381130       0.008596     -0.018317     -0.036530     -0.033409
19381231       0.059659      0.041013      0.033472      0.037706
19390131      -0.039865     -0.059613     -0.075729     -0.068887
19390228       0.037298      0.034935      0.041384      0.032520
19390331      -0.034057     -0.119241     -0.173763     -0.135433
19390429      -0.014881     -0.002334      0.002429     -0.005464
19390531       0.070242      0.068729      0.086137      0.062271
19390630      -0.003529     -0.052833     -0.083303     -0.063793
19390731       0.068571      0.101761      0.135497      0.108656
19390831      -0.093583     -0.066110     -0.106495     -0.071429
19390930      -0.014749      0.159628      0.391878      0.164580
19391031       0.087613     -0.003843     -0.006939     -0.014593
19391130       0.000000     -0.036778     -0.081311     -0.049104
19391230       0.039583      0.030342      0.017811      0.023770
19400131      -0.028956     -0.024020     -0.019978     -0.035228
19400229       0.051318      0.013664      0.029733      0.006639
19400330      -0.006794      0.018939      0.026168      0.009893
19400430      -0.013361      0.001196      0.013115     -0.004898
19400531      -0.161796     -0.220314     -0.269754     -0.239541
19400629      -0.047619      0.066664      0.066550      0.076591
19400731       0.025271      0.032230      0.036805      0.031062
19400831       0.005282      0.023962      0.023221      0.026239
19400930       0.094571      0.023028      0.037207      0.009470
19401031       0.017771      0.029705      0.049218      0.039400
19401130       0.006349     -0.016348     -0.001669     -0.042419
19401231       0.017350      0.006811     -0.018789     -0.002828
19410131       0.000704     -0.040505     -0.007317     -0.048204
19410228      -0.014778     -0.014839     -0.019409     -0.014896
19410331       0.033750      0.009599      0.014308      0.004032
19410430      -0.081807     -0.053065     -0.057382     -0.065261
19410531       0.066489      0.013858      0.010105      0.004296
19410630       0.034913      0.058683      0.066908      0.053476
19410731       0.025953      0.059519      0.130139      0.054822
19410830      -0.007115     -0.000463     -0.007180     -0.008662
19410930       0.025478     -0.007494     -0.020448     -0.009709
19411031      -0.031348     -0.051786     -0.062030     -0.068627
19411129       0.003236     -0.019367     -0.034209     -0.042105
19411231      -0.016129     -0.046728     -0.081886     -0.045055
19420131      -0.111672      0.007158      0.130814      0.013809
19420228      -0.037182     -0.024149     -0.017579     -0.024972
19420331      -0.036585     -0.065655     -0.052240     -0.067520
19420430      -0.008547     -0.043145     -0.046260     -0.043695
19420529       0.039332      0.061047      0.028879      0.063969
19420630       0.105236      0.025482      0.025086      0.018405
19420731       0.028463      0.034877      0.046405      0.031325
19420831       0.018450      0.018656      0.028304      0.007009
19420930       0.003623      0.026300      0.047557      0.026682
19421031       0.020073      0.067688      0.101294      0.064407
19421130       0.059034      0.002500     -0.013177     -0.013800
19421231       0.020270      0.050416      0.035554      0.051668
19430130       0.079849      0.073303      0.168551      0.071648
19430227       0.011382      0.059920      0.130930      0.050621
19430331       0.042208      0.062077      0.112136      0.052727
19430430       0.006231      0.006903      0.035466      0.000864
19430529       0.049536      0.057158      0.084513      0.044866
19430630       0.008929      0.016911      0.010979      0.019818
19430731      -0.014749     -0.046205     -0.064335     -0.054251
19430831       0.032934      0.012986      0.003373      0.010274
19430930       0.019006      0.024527      0.034867      0.023729
19431030      -0.010043     -0.012218     -0.003943     -0.013245
19431130      -0.031884     -0.058529     -0.088584     -0.075503
19431231       0.045317      0.063623      0.098730      0.058984
19440131      -0.028902      0.018072      0.045949      0.015424
19440229      -0.021875      0.003686      0.013018     -0.002532
19440331       0.108065      0.024417      0.041526      0.016920
19440429      -0.009461     -0.016341     -0.029289     -0.012479
19440531       0.013960      0.050955      0.066135      0.040438
19440630       0.005848      0.056171      0.104935      0.051012
19440731       0.012718     -0.015151     -0.012724     -0.020801
19440831       0.037675      0.015927      0.030082      0.008655
19440930       0.006974      0.000191      0.000252     -0.003120
19441031      -0.036011      0.002504      0.000953      0.000000
19441130       0.064655      0.016456      0.023183      0.003912
19441230       0.006803      0.041224      0.069303      0.035074
19450131      -0.015270      0.019194      0.043353      0.014307
19450228       0.049712      0.064282      0.086339      0.061618
19450331      -0.008997     -0.038728     -0.056802     -0.046154
19450430       0.044693      0.077474      0.088844      0.087977
19450531       0.044118      0.018630      0.030017      0.011456
19450630      -0.015484      0.003422      0.036565     -0.003331
19450731       0.005242     -0.022095     -0.035068     -0.020053
19450831       0.014342      0.061123      0.065928      0.057981
19450929       0.041451      0.048051      0.062646      0.041908
19451031       0.104478      0.039018      0.064522      0.030322
19451130       0.099099      0.054546      0.097574      0.032432
19451231      -0.018557      0.011763      0.024073      0.009889
19460131       0.024160      0.063309      0.094677      0.069700
19460228       0.033333     -0.057852     -0.066906     -0.069467
19460330       0.057500      0.058716      0.057922      0.046296
19460430       0.125296      0.042899      0.052109      0.037611
19460531       0.048319      0.039864      0.054749      0.022388
19460628      -0.016129     -0.039140     -0.048887     -0.039103
19460731       0.012295     -0.025465     -0.040842     -0.025502
19460830      -0.062753     -0.063922     -0.075327     -0.072940
19460930      -0.082609     -0.100202     -0.135552     -0.101502
19461031      -0.009479     -0.014164     -0.011814     -0.008021
19461130       0.002990      0.001200     -0.002634     -0.011456
19461231       0.009610      0.050925      0.046908      0.042945
19470131       0.051755      0.015128      0.030197      0.023529
19470228      -0.038462     -0.011577     -0.007105     -0.014687
19470331      -0.011848     -0.017058     -0.030425     -0.016850
19470430      -0.071942     -0.047868     -0.081680     -0.038893
19470529       0.041344     -0.009997     -0.037321     -0.008916
19470630       0.030000      0.053652      0.057096      0.052595
19470731       0.043689      0.041240      0.061670      0.036160
19470829       0.000000     -0.017509     -0.017166     -0.027919
19470930       0.002342     -0.004419      0.005783     -0.013708
19471031       0.011682      0.024614      0.033156      0.021178
19471129       0.055139     -0.018306     -0.029305     -0.028516
19471231       0.057560      0.030189      0.023863      0.020680
19480131      -0.087500     -0.037266     -0.016276     -0.039869
19480228       0.078767     -0.043439     -0.059451     -0.046971
19480331       0.048507      0.082763      0.095843      0.077143
19480430       0.007117      0.037775      0.040151      0.026525
19480528       0.038869      0.074581      0.087630      0.078165
19480630       0.000000     -0.000177     -0.012534      0.002996
19480730      -0.047945     -0.050421     -0.053733     -0.053166
19480831       0.084532      0.003854     -0.001818      0.007571
19480930      -0.048414     -0.029544     -0.042785     -0.030056
19481030       0.080702      0.060056      0.053201      0.067786
19481130      -0.028409     -0.090626     -0.106320     -0.108223
19481231       0.049622      0.032202      0.013703      0.030508
19490131       0.053365      0.003043      0.017749      0.001316
19490228      -0.047923     -0.029464     -0.041302     -0.039422
19490331       0.048986      0.041521      0.059309      0.030096
19490430       0.030596     -0.017866     -0.031490     -0.021248
19490531       0.000000     -0.027440     -0.043168     -0.037313
19490630      -0.047170      0.003093     -0.007713     -0.002114
19490729       0.102310      0.055845      0.062022      0.062147
19490831       0.000000      0.026592      0.026020      0.011968
19490930       0.060241      0.031831      0.043249      0.023653
19491031       0.117898      0.031224      0.039025      0.029525
19491130      -0.013977      0.018842      0.009400      0.001247
19491231       0.176166      0.052102      0.070120      0.043587
19500131       0.054626      0.017283      0.040293      0.017303
19500228      -0.008772      0.014635      0.016102      0.009971
19500331       0.037778      0.012198     -0.001770      0.004065
19500429      -0.019272      0.040257      0.047443      0.045113
19500531       0.021834      0.043689      0.033185      0.039292
19500630      -0.098712     -0.057935     -0.075737     -0.058040
19500731      -0.095238      0.016118      0.050635      0.008479
19500831       0.094737      0.050699      0.051892      0.032511
19500929       0.028986      0.048804      0.055013      0.055917
19501031      -0.009390     -0.001109     -0.005504      0.004113
19501130       0.010664      0.028518      0.031622     -0.001024
19501230       0.017668      0.057703      0.084545      0.046130
19510131       0.057292      0.058239      0.076248      0.061244
19510228      -0.041379      0.014434      0.011586      0.006464
19510331      -0.018072     -0.020949     -0.033890     -0.018349
19510430       0.006135      0.049613      0.040814      0.048131
19510531      -0.002439     -0.022624     -0.024919     -0.040571
19510629      -0.017199     -0.025324     -0.044929     -0.026022
19510731       0.070000      0.071166      0.063332      0.068702
19510831       0.039720      0.045082      0.047438      0.039286
19510928      -0.020316      0.009177      0.023631     -0.000859
19511031      -0.064516     -0.022397     -0.023609     -0.013758
19511130       0.009852      0.005923      0.007185     -0.002616
19511231       0.071078      0.034898      0.015248      0.038899
19520131      -0.032895      0.016906      0.017491      0.015566
19520229      -0.048447     -0.024983     -0.020650     -0.036454
19520331       0.007874      0.045586      0.028864      0.047721
19520430      -0.013021     -0.048900     -0.044936     -0.043086
19520529       0.060686      0.032874      0.024515      0.023156
19520630       0.095000      0.039283      0.030728      0.046102
19520731      -0.004566      0.011482      0.010652      0.017628
19520829      -0.008028     -0.006584      0.000056     -0.014567
19520930      -0.019744     -0.018991     -0.015160     -0.019577
19521031       0.021327     -0.005456     -0.011717     -0.000815
19521128       0.071926      0.058795      0.055644      0.046493
19521231       0.073967      0.031210      0.022641      0.035464
19530130      -0.013815     -0.001342      0.024706     -0.007151
19530227       0.028017     -0.001711      0.012031     -0.018196
19530331       0.014737     -0.013417     -0.010486     -0.023552
19530430      -0.049793     -0.027474     -0.024027     -0.026493
19530529       0.050218      0.007141      0.005896     -0.003249
19530630      -0.030271     -0.016655     -0.031671     -0.016300
19530731       0.033369      0.025329      0.017571      0.025269
19530831      -0.004167     -0.044092     -0.051874     -0.057778
19530930      -0.029412      0.003053     -0.011005      0.001286
19531030       0.008658      0.047090      0.037834      0.050964
19531130       0.032189      0.028267      0.021317      0.008965
19531231       0.057098      0.000768     -0.015444      0.002019
19540129       0.054656      0.052460      0.071683      0.051189
19540226       0.044146      0.017482      0.013576      0.002684
19540331       0.232472      0.037251      0.029150      0.030210
19540430       0.005988      0.042851      0.016373      0.048998
19540528       0.067708      0.031569      0.043151      0.032909
19540630       0.048951      0.011477      0.012275      0.000685
19540730      -0.005000      0.050368      0.071989      0.057172
19540831      -0.048576     -0.022516     -0.009175     -0.034003
19540930       0.035336      0.064304      0.044308      0.083138
19541029       0.063140     -0.016211     -0.006860     -0.019499
19541130       0.186196      0.095289      0.092199      0.080808
19541231      -0.017639      0.055263      0.087724      0.050818
19550131       0.026243      0.006994      0.014124      0.018066
19550228       0.004038      0.031280      0.042781      0.003549
19550331       0.067204     -0.001122      0.000530     -0.004897
19550429       0.078086      0.032281      0.022598      0.037726
19550531      -0.021028      0.011856      0.007814     -0.001317
19550630      -0.007177      0.065800      0.034694      0.082300
19550729       0.015663      0.020283      0.008001      0.060687
19550831      -0.039146      0.004250      0.005764     -0.007813
19550930      -0.017327     -0.002034     -0.007751      0.011348
19551031      -0.042821     -0.025728     -0.017815     -0.030456
19551130       0.047368      0.071558      0.055257      0.074870
19551230       0.040491      0.016437      0.022836     -0.000659
19560131      -0.032258     -0.027987     -0.020746     -0.036500
19560229       0.051282      0.039532      0.033613      0.034687
19560329       0.210269      0.068175      0.051383      0.069255
19560430       0.070707      0.005093      0.003827     -0.002063
19560531       0.015330     -0.049186     -0.039964     -0.065730
19560629       0.139697      0.037157      0.021712      0.039159
19560731       0.052094      0.050753      0.039967      0.051522
19560831      -0.057282     -0.030342     -0.018161     -0.038064
19560928      -0.065015     -0.049677     -0.035938     -0.045464
19561031       0.030905      0.007221      0.007063      0.005072
19561130       0.047109      0.004611      0.005277     -0.010970
19561231       0.106557      0.034934      0.023122      0.035271
19570131      -0.040741     -0.032051      0.003613     -0.041783
19570228      -0.016409     -0.018698     -0.023299     -0.032648
19570329       0.021632      0.024087      0.022499      0.019649
19570430       0.101059      0.045059      0.025909      0.036953
19570531       0.059732      0.036599      0.022263      0.036948
19570628       0.123939     -0.005107     -0.006747     -0.001265
19570731       0.016616      0.008920      0.005610      0.011400
19570830      -0.059138     -0.050003     -0.050190     -0.056147
19570930      -0.049051     -0.057622     -0.052982     -0.061920
19571031      -0.006656     -0.041099     -0.065213     -0.032060
19571129       0.040536      0.025457      0.021027      0.016074
19571231       0.008468     -0.037450     -0.049129     -0.041467
19580131       0.054098      0.049905      0.106481      0.042761
19580228       0.023795     -0.014125     -0.011845     -0.020624
19580331       0.053272      0.033787      0.035918      0.030852
19580430       0.014451      0.030773      0.030171      0.031829
19580529      -0.004558      0.024569      0.039475      0.014963
19580630       0.058065      0.029507      0.031729      0.026083
19580731       0.001355      0.044915      0.054168      0.043103
19580829       0.008525      0.019090      0.029878      0.011867
19580930       0.096774      0.048638      0.052239      0.048377
19581031       0.066176      0.027500      0.032975      0.025370
19581128       0.029080      0.030526      0.042114      0.022404
19581231       0.226790      0.052872      0.038790      0.052020
19590130      -0.064953      0.009199      0.041502      0.003804
19590227       0.058771      0.011294      0.028112     -0.000180
19590331       0.026465      0.004509      0.012223      0.000541
19590430       0.079190      0.037947      0.025714      0.038781
19590529       0.204352      0.019499      0.008206      0.018927
19590630      -0.046809      0.000564      0.004149     -0.003579
19590731      -0.044643      0.034193      0.030062      0.034890
19590831      -0.007009     -0.012437     -0.014839     -0.015039
19590930      -0.030624     -0.044885     -0.045760     -0.045638
19591030      -0.006075      0.015682      0.023206      0.011252
19591130       0.067482      0.018454      0.015040      0.013213
19591231       0.005161      0.028015      0.021177      0.027625
19600129      -0.050770     -0.066354     -0.039202     -0.071464
19600229       0.006611      0.014202      0.008478      0.009171
19600331       0.050239     -0.012847     -0.024876     -0.013899
19600429       0.030752     -0.015330     -0.019730     -0.017528
19600531       0.115470      0.033982      0.025546      0.026853
19600630       0.035714      0.023039      0.021609      0.019524
19600729       0.004789     -0.022708     -0.019598     -0.024772
19600831       0.023356      0.032258      0.037948      0.026121
19600930      -0.037313     -0.058620     -0.059524     -0.060393
19601031      -0.009690     -0.004797     -0.023230     -0.002429
19601130       0.091487      0.048489      0.046495      0.040270
19601230       0.064632      0.048457      0.037495      0.046273
19610131       0.072513      0.063879      0.082048      0.063156
19610228       0.062500      0.036972      0.060130      0.026870
19610330       0.029630      0.030583      0.049888      0.025536
19610428       0.027338      0.005664      0.009487      0.003843
19610531       0.027521      0.025810      0.041572      0.019139
19610630      -0.026612     -0.028499     -0.042415     -0.028846
19610731       0.024185      0.029924      0.011517      0.032797
19610831       0.067967      0.026883      0.021358      0.019623
19610929       0.035611     -0.019992     -0.029686     -0.019686
19611031       0.092007      0.027435      0.020988      0.028323
19611130      -0.011745      0.045381      0.046461      0.039347
19611229      -0.001724      0.000746     -0.003757      0.003225
19620131      -0.063903     -0.036179     -0.007807     -0.037876
19620228      -0.007841      0.019502      0.015405      0.016270
19620330      -0.007914     -0.004669     -0.006241     -0.005860
19620430      -0.147818     -0.063452     -0.068134     -0.061970
19620531      -0.133811     -0.084680     -0.098186     -0.085990
19620629      -0.135669     -0.082632     -0.085125     -0.081838
19620731       0.140752      0.065504      0.064000      0.063562
19620831       0.025840      0.023414      0.037061      0.015284
19620928      -0.107886     -0.050154     -0.063830     -0.048207
19621031      -0.021216      0.002184     -0.039528      0.004443
19621130       0.153902      0.110137      0.121176      0.101557
19621231      -0.021330      0.011865     -0.025561      0.013492
19630131       0.086538      0.051848      0.089140      0.049128
19630228      -0.054277     -0.021931     -0.014477     -0.028852
19630329       0.053158      0.032917      0.012027      0.035464
19630430       0.101544      0.047439      0.026890      0.048520
19630531       0.031267      0.020051      0.032306      0.014327
19630628      -0.085909     -0.018030     -0.010383     -0.020198
19630731      -0.004011     -0.001718     -0.006304     -0.003460
19630830       0.025892      0.052684      0.042305      0.048749
19630930       0.016301     -0.011898     -0.010373     -0.011034
19631031       0.092920      0.027708      0.012208      0.032218
19631129      -0.015182     -0.005549     -0.016139     -0.010539
19631231       0.044822      0.021736     -0.004228      0.024444
19640131       0.069034      0.025790      0.032092      0.026926
19640228       0.052122      0.017207      0.025173      0.009865
19640331       0.044376      0.017636      0.025510      0.015167
19640430      -0.040387      0.004608      0.001004      0.006077
19640528       0.054910      0.017403      0.007507      0.011452
19640630      -0.006250      0.015080      0.010411      0.016424
19640731      -0.031447      0.020118      0.030161      0.018240
19640831      -0.043831     -0.011266     -0.006038     -0.016230
19640930      -0.009081      0.030480      0.038248      0.028718
19641030      -0.037801      0.008869      0.018821      0.008078
19641130      -0.014881      0.003089     -0.000516     -0.005185
19641231      -0.007273      0.003690     -0.012365      0.003909
19650129       0.095238      0.038646      0.071403      0.033156
19650226       0.019509      0.006947      0.032325     -0.001485
19650331      -0.003291     -0.009715      0.015393     -0.014526
19650430       0.067694      0.033652      0.041560      0.034239
19650528      -0.011340     -0.004350     -0.005845     -0.007743
19650630      -0.041841     -0.051868     -0.083718     -0.048632
19650730       0.045852      0.016759      0.028633      0.013433
19650831       0.044885      0.030883      0.041844      0.022522
19650930       0.027054      0.031952      0.027420      0.032006
19651029       0.040000      0.029271      0.058679      0.027345
19651130      -0.012195      0.003065      0.046544     -0.008764
19651231      -0.049524      0.013545      0.042981      0.008951
19660131      -0.006012      0.012122      0.064170      0.004869
19660228       0.041331     -0.008621      0.028865     -0.017873
19660331       0.001942     -0.020923     -0.008889     -0.021815
19660429       0.080426      0.024837      0.046619      0.020509
19660531      -0.021031     -0.052539     -0.086024     -0.054140
19660630      -0.029680     -0.010317     -0.004988     -0.016138
19660729      -0.027817     -0.012870     -0.016316     -0.013453
19660831      -0.056200     -0.075388     -0.100714     -0.077751
19660930      -0.009360     -0.006958     -0.018161     -0.007004
19661031       0.045669      0.042294     -0.014385      0.047544
19661130       0.135843      0.017516      0.040725      0.003117
19661230      -0.011968      0.006210      0.017306     -0.001492
19670131       0.075370      0.085530      0.172104      0.078178
19670228       0.079099      0.010945      0.042368      0.001963
19670331       0.048837      0.043384      0.058244      0.039410
19670428       0.100887      0.041609      0.041928      0.042239
19670531      -0.035234     -0.039293     -0.008098     -0.052441
19670630       0.067024      0.026903      0.081958      0.017512
19670731       0.020603      0.049189      0.083251      0.045344
19670831      -0.013589     -0.006282      0.006312     -0.011715
19670929       0.097049      0.034286      0.062963      0.032785
19671031       0.082535     -0.027433     -0.020594     -0.029056
19671130       0.033024      0.007902      0.000878      0.001065
19671229       0.024510      0.033699      0.080465      0.026277
19680131      -0.051834     -0.036330      0.023902     -0.043848
19680229      -0.022204     -0.033624     -0.056118     -0.031223
19680329       0.056034      0.005116     -0.011218      0.009400
19680430       0.106122      0.094148      0.143031      0.081929
19680531       0.055793      0.027041      0.091309      0.011169
19680628      -0.009104      0.011527      0.016225      0.009120
19680730      -0.042403     -0.022024     -0.026210     -0.018478
19680830      -0.009151      0.018038      0.035918      0.011459
19680930       0.000000      0.044454      0.068808      0.038539
19681031      -0.081642      0.009041      0.006913      0.007208
19681129       0.087134      0.058502      0.071994      0.047964
19681231      -0.056180     -0.033873      0.005896     -0.041617
19690131      -0.059524     -0.006711     -0.001688     -0.008184
19690228      -0.007004     -0.053640     -0.085728     -0.047374
19690328       0.070303      0.030506      0.020290      0.034444
19690430       0.044586      0.020526      0.003459      0.021476
19690529      -0.025000      0.005040      0.006262     -0.002218
19690630       0.058777     -0.067387     -0.113404     -0.055577
19690731      -0.039230     -0.065172     -0.095823     -0.060178
19690829       0.066256      0.051490      0.052175      0.040074
19690930       0.000725     -0.022590     -0.024618     -0.025024
19691031       0.044171      0.055638      0.092413      0.044244
19691128      -0.006935     -0.032164     -0.055078     -0.035274
19691231       0.021008     -0.019681     -0.066178     -0.018655
19700130      -0.080247     -0.073254     -0.038830     -0.076472
19700227       0.018494      0.056706      0.040195      0.052693
19700331      -0.005143     -0.004729     -0.023712      0.001453
19700430      -0.119645     -0.105318     -0.161963     -0.090483
19700529      -0.063087     -0.064346     -0.090524     -0.060967
19700630      -0.100719     -0.051075     -0.073904     -0.050033
19700731       0.013800      0.074169      0.059258      0.073295
19700831       0.055500      0.050036      0.061617      0.044459
19700930       0.095775      0.047536      0.126098      0.032998
19701030       0.011825     -0.018208     -0.058604     -0.011400
19701130       0.045068      0.050448      0.003021      0.047447
19701231       0.034174      0.060723      0.081324      0.056766
19710129       0.024390      0.052030      0.136096      0.040477
19710226       0.037788      0.016913      0.047910      0.009074
19710331       0.062407      0.044778      0.056603      0.036796
19710430       0.000699      0.033332      0.027087      0.036288
19710528      -0.082320     -0.036409     -0.049435     -0.041558
19710630      -0.030581      0.003119     -0.017240      0.000703
