   qdate        le_12        le_24        le_36        le_48        le_60       le_120 
19570531      0.00228      0.00213     -0.00005     -0.00046     -0.00316     -0.00170   
19570627      0.00140      0.00001     -0.00158     -0.00287     -0.00536     -0.01061   
19570731      0.00286      0.00287      0.00112      0.00079      0.00168     -0.00150   
19570830      0.00222      0.00169      0.00503      0.00327      0.00441      0.01092   
19570930      0.00275      0.00207      0.00054      0.00231      0.00088      0.00025   
19571031      0.00380      0.00444      0.00518      0.00417      0.00719      0.00428   
19571129      0.00559      0.01157      0.02129      0.02914      0.03180      0.03958   
19571231      0.00509      0.00803      0.01439      0.01974      0.02454      0.02155   
19580131      0.00680      0.00854      0.00772      0.00557      0.00423      0.00338   
19580228      0.00238      0.00555      0.00995      0.01078      0.01212      0.01386   
19580331      0.00207      0.00252      0.00351      0.00383      0.00397      0.00684   
19580430      0.00257      0.00763      0.00812      0.00914      0.01136      0.01144   
19580529      0.00280      0.00424      0.00417      0.00593      0.00540      0.00517   
19580630     -0.00033     -0.00037     -0.00173     -0.00755     -0.01170     -0.00817   
19580731     -0.00009     -0.00250     -0.00230     -0.00536     -0.01014     -0.01398   
19580829     -0.00389     -0.01820     -0.02225     -0.02689     -0.03257     -0.03511   
19580930      0.00104      0.00273     -0.00112     -0.00022      0.00043      0.00042   
19581031      0.00374      0.00372      0.00186      0.00461      0.00376      0.00405   
19581128      0.00156      0.00423      0.00687      0.00856      0.01279      0.01004   
19581231      0.00297      0.00310      0.00094     -0.00171     -0.00584     -0.01487   
19590130      0.00098     -0.00175     -0.00118     -0.00367     -0.00168     -0.00057   
19590227      0.00259      0.00343      0.00444      0.00820      0.00800      0.00818   
19590331      0.00262      0.00148     -0.00021     -0.00403     -0.00537     -0.00398   
19590430      0.00208      0.00173      0.00008     -0.00353     -0.00412     -0.00986   
19590529      0.00198      0.00103      0.00035      0.00042     -0.00106      0.00075   
19590630      0.00251      0.00092     -0.00148     -0.00348     -0.00646     -0.00438   
19590731      0.00263      0.00404      0.00392      0.00469      0.00685      0.00329   
19590831      0.00142     -0.00227     -0.00344     -0.00411     -0.00862     -0.00955   
19590930      0.00203     -0.00087     -0.00022     -0.00274      0.00103      0.00149   
19591030      0.00656      0.01112      0.01468      0.01387      0.01648      0.02080   
19591130      0.00097     -0.00013     -0.00621     -0.00490     -0.00543     -0.00657   
19591231      0.00380      0.00223     -0.00085     -0.00048      0.00276     -0.00964   
19600129      0.00596      0.00881      0.01019      0.01254      0.00616      0.01275   
19600229      0.00258      0.00519      0.00520      0.00502      0.00620      0.01152   
19600331      0.00764      0.01459      0.02241      0.02662      0.02827      0.03195   
19600429      0.00185     -0.00281     -0.00616     -0.00755     -0.01108     -0.00932   
19600531      0.00371      0.00434      0.00424      0.00713      0.00766      0.00280   
19600630      0.00740      0.01347      0.01849      0.02059      0.02374      0.02380   
19600729      0.00292      0.01022      0.01577      0.01941      0.02317      0.02898   
19600831      0.00227      0.00299      0.00032      0.00167     -0.00074     -0.00313   
19600930      0.00219      0.00326      0.00514      0.00272      0.00188      0.00565   
19601031      0.00331      0.00085      0.00284      0.00231      0.00179     -0.00242   
19601130      0.00131     -0.00044     -0.00340     -0.00358     -0.00875     -0.00565   
19601230      0.00424      0.01030      0.01385      0.01760      0.02430      0.02082   
19610131      0.00218     -0.00123     -0.00424     -0.00669     -0.00996     -0.00620   
19610228      0.00057      0.00195      0.00318      0.00576      0.00831      0.00895   
19610330      0.00307      0.00380      0.00610      0.00475      0.00167      0.00248   
19610428      0.00249      0.00336      0.00400      0.00715      0.00878      0.00591   
19610531      0.00231      0.00032     -0.00190     -0.00165     -0.00152     -0.00184   
19610630      0.00235      0.00219      0.00021     -0.00439     -0.00693     -0.00294   
19610731      0.00337      0.00433      0.00358      0.00278      0.00092     -0.00118   
19610831      0.00122      0.00054      0.00042     -0.00155     -0.00346      0.00234   
19610929      0.00277      0.00366      0.00560      0.00757      0.00870      0.01078   
19611031      0.00252      0.00435      0.00531      0.00766      0.00411      0.00354   
19611130      0.00200      0.00172      0.00122      0.00174      0.00104     -0.00065   
19611229      0.00171      0.00127      0.00094     -0.00251     -0.00076      0.00302   
19620131      0.00324      0.00204      0.00152      0.00127      0.00078     -0.00347   
19620228      0.00282      0.00596      0.00910      0.01283      0.01438      0.01299   
19620330      0.00340      0.00548      0.00620      0.00694      0.00901      0.01084   
19620430      0.00245      0.00192      0.00203      0.00138      0.00200      0.00302   
19620531      0.00273      0.00441      0.00519      0.00495      0.00287      0.00189   
19620629      0.00105     -0.00025     -0.00217     -0.00050     -0.00618     -0.00245   
19620731      0.00243      0.00170      0.00217      0.00057      0.00148      0.00053   
19620831      0.00311      0.00664      0.00923      0.00930      0.01306      0.01063   
19620928      0.00296      0.00410      0.00359      0.00403      0.00557      0.00440   
19621031      0.00292      0.00268      0.00343      0.00428      0.00597      0.00655   
19621130      0.00178      0.00126      0.00093      0.00329      0.00606      0.00475   
19621231      0.00226      0.00212      0.00261      0.00272      0.00465      0.00639   
19630131      0.00296      0.00413      0.00435      0.00248      0.00001      0.00118   
19630228      0.00279      0.00260      0.00285      0.00291      0.00172     -0.00098   
19630329      0.00162      0.00288      0.00205      0.00257      0.00169      0.00229   
19630430      0.00278      0.00091      0.00073      0.00151      0.00245      0.00330   
19630531      0.00193      0.00201      0.00232      0.00095      0.00089      0.00168   
19630628      0.00247      0.00227      0.00276      0.00206      0.00059      0.00025   
19630731      0.00260     -0.00019     -0.00110     -0.00041     -0.00002      0.00290   
19630830      0.00210      0.00132      0.00234      0.00157      0.00102      0.00008   
19630930      0.00281      0.00357      0.00338      0.00313      0.00320      0.00286   
19631031      0.00254      0.00142      0.00139      0.00093      0.00107     -0.00025   
19631129      0.00228      0.00249      0.00204      0.00352      0.00264      0.00569   
19631231      0.00326      0.00186      0.00154     -0.00024      0.00011      0.00042   
19640131      0.00330      0.00461      0.00356      0.00540      0.00497      0.00173   
19640228      0.00208      0.00118      0.00103      0.00095      0.00015      0.00005   
19640331      0.00325      0.00235      0.00112     -0.00082     -0.00089      0.00055   
19640430      0.00402      0.00511      0.00539      0.00589      0.00523      0.00525   
19640528      0.00283      0.00332      0.00426      0.00578      0.00586      0.00622   
19640630      0.00338      0.00469      0.00584      0.00580      0.00531      0.00720   
19640731      0.00292      0.00458      0.00514      0.00483      0.00491      0.00217   
19640831      0.00244      0.00160      0.00187      0.00201      0.00179      0.00180   
19640930      0.00299      0.00262      0.00178      0.00295      0.00143      0.00550   
19641030      0.00258      0.00265      0.00292      0.00294      0.00319      0.00301   
19641130      0.00139      0.00041     -0.00003     -0.00081     -0.00036      0.00060   
19641231      0.00406      0.00544      0.00657      0.00632      0.00656      0.00353   
19650129      0.00292      0.00312      0.00373      0.00389      0.00370      0.00504   
19650226      0.00224      0.00140      0.00080      0.00172      0.00038      0.00080   
19650331      0.00400      0.00429      0.00337      0.00338      0.00459      0.00516   
19650429      0.00307      0.00344      0.00327      0.00325      0.00257      0.00310   
19650528      0.00274      0.00290      0.00328      0.00381      0.00240      0.00263   
19650630      0.00384      0.00489      0.00538      0.00434      0.00386      0.00533   
19650730      0.00312      0.00247      0.00234      0.00121      0.00172      0.00178   
19650831      0.00265      0.00196      0.00118      0.00108      0.00153     -0.00076   
19650930      0.00223      0.00109     -0.00028     -0.00007     -0.00077     -0.00122   
19651029      0.00307      0.00334      0.00275      0.00185      0.00050     -0.00013   
19651130      0.00283      0.00231      0.00116      0.00130      0.00189     -0.00021   
19651231      0.00155     -0.00387     -0.00849     -0.01041     -0.01331     -0.01128   
19660131      0.00427      0.00463      0.00482      0.00405      0.00107     -0.00216   
19660228      0.00290      0.00293      0.00112      0.00058     -0.00213     -0.01072   
19660331      0.00490      0.00567      0.00907      0.01198      0.01168      0.02147   
19660429      0.00323      0.00239      0.00188      0.00136      0.00282     -0.00064   
19660531      0.00339      0.00183      0.00093     -0.00118     -0.00207      0.00072   
19660630      0.00430      0.00816      0.00209     -0.00013     -0.00105     -0.00318   
19660729      0.00300     -0.00242      0.00240      0.00040     -0.00240     -0.00524   
19660831      0.00173     -0.00269     -0.00799     -0.01522     -0.01283     -0.01011   
19660930      0.00519      0.00815      0.01287      0.02046      0.01345      0.02422   
19661031      0.00512      0.00589      0.00643      0.00841      0.00700      0.00707   
19661130      0.00463      0.00356      0.00301      0.00097      0.00205      0.00028   
19661230      0.00635      0.01252      0.01509      0.02115      0.02434      0.02944   
19670131      0.00576      0.00784      0.01038      0.01212      0.01086      0.01176   
19670228      0.00281      0.00203     -0.00100     -0.00044      0.00043     -0.00414   
19670331      0.00651      0.01103      0.01785      0.01886      0.01807      0.01968   
19670428      0.00349      0.00207     -0.00348     -0.00562     -0.00736     -0.01092   
19670531      0.00380      0.00207      0.00398      0.00440      0.00079      0.00514   
19670630      0.00040     -0.00482     -0.00983     -0.01252     -0.01995     -0.02395   
19670731      0.00324      0.00352      0.00790      0.00715      0.01118      0.01256   
19670831      0.00357      0.00290     -0.00334     -0.00430     -0.00357     -0.00290   
19670929      0.00332      0.00328      0.00389      0.00315      0.00279      0.00203   
19671031      0.00346      0.00162     -0.00349     -0.00256     -0.00751     -0.01361   
19671130      0.00248      0.00141      0.00394      0.00314      0.00055      0.00015   
19671229      0.00391      0.00409      0.00095      0.00143      0.00233      0.00891   
19680131      0.00717      0.00865      0.01314      0.01402      0.01532      0.01419   
19680229      0.00312      0.00406      0.00132      0.00137      0.00369      0.00228   
19680329      0.00396      0.00264      0.00134     -0.00090     -0.00200     -0.00341   
19680430      0.00307      0.00226      0.00164      0.00118      0.00064      0.00093   
19680531      0.00374      0.00117      0.00456      0.00621      0.00265      0.00413   
19680628      0.00595      0.00820      0.00857      0.01035      0.01519      0.01147   
19680731      0.00641      0.01095      0.01319      0.01525      0.01983      0.01901   
19680830      0.00415      0.00453      0.00553      0.00504      0.00152      0.00573   
19680930      0.00435      0.00421      0.00304      0.00362      0.00474      0.00288   
19681031      0.00314      0.00167      0.00211      0.00191      0.00091     -0.00088   
19681129      0.00325      0.00246      0.00244     -0.00067     -0.00084     -0.00088   
19681231      0.00177     -0.00523     -0.01277     -0.01389     -0.01695     -0.02040   
19690131      0.00622      0.00592      0.00825      0.00785      0.00455      0.00777   
19690228      0.00447      0.00245     -0.00343     -0.00790     -0.00623     -0.00001   
19690328      0.00550      0.00763      0.01152      0.01081      0.00234      0.00786   
19690430      0.00577      0.00576      0.00603      0.00960      0.01212      0.00430   
19690529      0.00194     -0.00179     -0.00593     -0.01276     -0.00616     -0.00852   
19690630     -0.00005     -0.00444     -0.00751     -0.01049     -0.00967     -0.00622   
19690731      0.00669      0.00431      0.00212     -0.00010     -0.00586      0.00862   
19690829      0.00519      0.00661      0.00501     -0.00254     -0.00150     -0.00433   
19690930      0.00430      0.00017     -0.00896     -0.02198     -0.01843     -0.03328   
19691031      0.00848      0.01331      0.02122      0.02780      0.03327      0.04156   
19691128      0.00283      0.00072     -0.00135      0.00191     -0.00529     -0.00598   
19691231      0.00549      0.00109     -0.00843     -0.00964     -0.01699     -0.01763   
19700130      0.00839      0.00759      0.00997      0.00285      0.00205     -0.00583   
19700227      0.01288      0.02138      0.02847      0.03063      0.04449      0.04517   
19700331      0.00688      0.00845      0.01098      0.00949      0.00798      0.00775   
19700430      0.00288     -0.00426     -0.01030     -0.01577     -0.02019     -0.02928   
19700529      0.00615      0.00523      0.00517      0.00897      0.01075      0.01412   
19700630      0.00811      0.01047      0.01078      0.00850      0.00870      0.00672   
19700731      0.00865      0.01023      0.01286      0.01382      0.01369      0.01503   
19700831      0.00654      0.00889      0.00953      0.01020      0.01141      0.01139   
19700930      0.00713      0.01099      0.01548      0.01951      0.01811      0.01717   
19701030      0.00690      0.00785      0.00995      0.00941      0.01025      0.01235   
19701130      0.01251      0.02357      0.03298      0.04023      0.04658      0.04807   
19701231      0.00541      0.00384      0.00307      0.00371      0.00479      0.00991   
19710129      0.00618      0.01526      0.01926      0.01773      0.01400      0.01293   
19710226      0.00716      0.01072      0.01397      0.01969      0.02015      0.01999   
19710331      0.00265      0.00243      0.01071      0.01471      0.01883      0.02408   
19710430     -0.00091     -0.00574     -0.02080     -0.02810     -0.03265     -0.03553   
19710528      0.00218     -0.00109     -0.00015      0.00315      0.00085     -0.00468   
19710630      0.00012     -0.00701     -0.01279     -0.02041     -0.02125     -0.02146   
19710730      0.00366      0.00557      0.00641      0.00141      0.00376      0.00325   
19710831      0.00995      0.01782      0.03088      0.04015      0.04114      0.04683   
19710930      0.00442      0.00587      0.00602      0.00571      0.00447      0.01307   
19711029      0.00667      0.01215      0.01551      0.01635      0.01840      0.01651   
19711130      0.00363      0.00391      0.00308      0.00265      0.00546      0.00235   
19711231      0.00582      0.00792      0.01060      0.01265      0.01610      0.01459   
19720131      0.00480      0.00448      0.00284     -0.00265     -0.00686     -0.00486   
19720229      0.00388      0.00554      0.00627      0.00738      0.00725      0.00744   
19720330     -0.00014     -0.00692     -0.00882     -0.01088     -0.01133     -0.00527   
19720428      0.00490      0.01176      0.01176      0.01231      0.01410      0.01119   
19720531      0.00413      0.00566      0.00905      0.00925      0.00926      0.00897   
19720630      0.00137     -0.00258     -0.00384     -0.00442     -0.00415     -0.00183   
19720731      0.00587      0.00837      0.00805      0.00541      0.00592      0.00513   
19720831      0.00040     -0.00249     -0.00178     -0.00266     -0.00365     -0.00455   
19720929      0.00347      0.00192      0.00328      0.00487      0.00606      0.00391   
19721031      0.00530      0.00592      0.00522      0.00451      0.00430      0.00806   
19721130      0.00495      0.00735      0.00773      0.00804      0.00908      0.01156   
19721229      0.00253      0.00112     -0.00033      0.00106      0.00110     -0.00085   
19730131      0.00337     -0.00037     -0.00085     -0.00274     -0.00696     -0.00005   
19730228      0.00357     -0.00028     -0.00226     -0.00356     -0.00650     -0.00510   
19730330      0.00270      0.00002      0.00025      0.00238      0.00264     -0.00133   
19730430      0.00646      0.00889      0.00876      0.00800      0.00943      0.00733   
19730531      0.00377      0.00305      0.00422      0.00551      0.00537      0.00167   
19730629      0.00232      0.00016     -0.00044     -0.00168     -0.00076      0.00269   
19730731      0.00255     -0.00856     -0.01500     -0.02014     -0.03098     -0.02957   
19730831      0.00867      0.01214      0.01709      0.02620      0.02740      0.02686   
19730928      0.01353      0.01664      0.02356      0.02316      0.02631      0.02591   
19731031      0.00777      0.00979      0.00500      0.00446      0.00377      0.00834   
19731130      0.00332      0.00445      0.00604      0.00805      0.00661      0.00648   
19731231      0.00680      0.00463      0.00448      0.00413      0.00289      0.00453   
19740131      0.00721      0.00735      0.00621      0.00794      0.00369     -0.00271   
19740228      0.00494      0.00422      0.00323     -0.00100      0.00187      0.00565   
19740329     -0.00146     -0.00958     -0.01347     -0.01823     -0.02188     -0.02443   
19740430      0.00426     -0.00270     -0.00401     -0.00859     -0.01305     -0.01818   
19740531      0.00919      0.01122      0.01118      0.01239      0.01265      0.01160   
19740628      0.00611      0.00467      0.00097     -0.00167     -0.00477     -0.00240   
19740731      0.00698      0.00442      0.00288      0.00236      0.00298     -0.00302   
19740830      0.00358     -0.00120      0.00386      0.00524      0.00138     -0.00354   
19740930      0.01579      0.02215      0.02090      0.02323      0.02926      0.03009   
19741031      0.00690      0.01154      0.01070      0.00994      0.00958      0.01743   
19741129      0.00665      0.01198      0.01623      0.02113      0.02328      0.02111   
19741231      0.00882      0.00777      0.01009      0.01264      0.01736      0.01982   
19750131      0.01019      0.01650      0.01487      0.01288      0.00735      0.00572   
19750228      0.00629      0.01057      0.01422      0.01537      0.01831      0.01189   
19750331      0.00388     -0.00009     -0.00341     -0.00727     -0.00902     -0.00864   
19750430      0.00322     -0.00268     -0.00947     -0.01355     -0.01637     -0.01675   
19750530      0.00975      0.01630      0.02107      0.02468      0.02701      0.02240   
19750630      0.00101     -0.00064      0.00106     -0.00112     -0.00075      0.00546   
19750731      0.00356      0.00061     -0.00388     -0.00403     -0.00419     -0.00239   
19750829      0.00492      0.00420      0.00614      0.00225      0.00080     -0.00173   
19750930      0.00563      0.00353     -0.00086     -0.00121      0.00014     -0.00676   
19751031      0.01253      0.02250      0.02949      0.03433      0.03507      0.03554   
19751128      0.00402      0.00267      0.00028      0.00053     -0.00141     -0.00172   
19751231      0.00786      0.01316      0.01757      0.01782      0.01963      0.02449   
19760130      0.00769      0.01227      0.01103      0.01047      0.00742      0.00673   
19760227      0.00202     -0.00092     -0.00001      0.00259      0.00614      0.00776   
19760331      0.00566      0.00784      0.00895      0.00951      0.00869      0.01053   
19760430      0.00487      0.00601      0.00815      0.00914      0.00868      0.00721   
19760528      0.00100     -0.00371     -0.00851     -0.01013     -0.01122     -0.00848   
19760630      0.00742      0.01165      0.01406      0.01479      0.01559      0.01313   
19760730      0.00669      0.00927      0.01046      0.01170      0.01191      0.00874   
19760831      0.00630      0.00918      0.01166      0.01269      0.01547      0.01679   
19760930      0.00520      0.00854      0.01032      0.01061      0.01286      0.01318   
19761029      0.00593      0.00845      0.01138      0.01392      0.01543      0.01623   
19761130      0.00729      0.01418      0.02043      0.02606      0.03086      0.03248   
19761231      0.00462      0.00562      0.00521      0.00393      0.00435      0.01286   
19770131      0.00143     -0.00597     -0.01269     -0.01836     -0.02320     -0.02616   
19770228      0.00496      0.00640      0.00735      0.00538      0.00540      0.00295   
19770331      0.00501      0.00708      0.00681      0.00943      0.00736      0.00672   
19770429      0.00375      0.00380      0.00524      0.00503      0.00440      0.00526   
19770531      0.00293      0.00393      0.00491      0.00742      0.00764      0.00842   
19770630      0.00520      0.00714      0.00819      0.01147      0.01225      0.01456   
19770729      0.00211     -0.00121     -0.00375     -0.00579     -0.00645     -0.00625   
19770831      0.00487      0.00496      0.00520      0.00694      0.00785      0.01196   
19770930      0.00344      0.00171      0.00047      0.00092      0.00043     -0.00156   
19771031      0.00419      0.00115     -0.00131     -0.00403     -0.00541     -0.00674   
19771130      0.00606      0.00719      0.00818      0.00857      0.00946      0.00982   
19771230      0.00491      0.00400      0.00284     -0.00066     -0.00325     -0.00662   
19780131      0.00499      0.00302      0.00140      0.00146      0.00049     -0.00284   
19780228      0.00534      0.00487      0.00305      0.00247      0.00121     -0.00029   
19780331      0.00573      0.00464      0.00459      0.00435      0.00408      0.00194   
19780428      0.00484      0.00381      0.00298      0.00252      0.00293      0.00146   
19780531      0.00473      0.00291      0.00124      0.00093     -0.00142     -0.00391   
19780630      0.00461      0.00174     -0.00109     -0.00348     -0.00260     -0.00426   
19780731      0.00706      0.00765      0.00857      0.00964      0.00961      0.01021   
19780831      0.00593      0.00662      0.00876      0.00827      0.00817      0.01230   
19780929      0.00397      0.00261      0.00366      0.00389      0.00447     -0.00009   
19781031      0.00383     -0.00265     -0.01055     -0.01526     -0.01677     -0.01490   
19781130      0.00594      0.00429      0.00718      0.01317      0.01407      0.01162   
19781229      0.00506     -0.00032     -0.00456     -0.00650     -0.00962     -0.01118   
19790131      0.01125      0.01466      0.01685      0.02051      0.02133      0.02232   
19790228      0.00686      0.00508      0.00299     -0.00124     -0.00665     -0.00579   
19790330      0.00918      0.01010      0.00821      0.00917      0.01123      0.01123   
19790430      0.00745      0.00640      0.00387      0.00248      0.00325      0.00002   
19790531      0.00908      0.01221      0.01567      0.01730      0.01870      0.02249   
19790629      0.00996      0.01535      0.01759      0.01731      0.01891      0.02218   
19790731      0.00583      0.00204      0.00122     -0.00063     -0.00033     -0.00515   
19790831      0.00497     -0.00061     -0.00287     -0.00458     -0.00532     -0.00690   
19790928      0.00511      0.00197      0.00006     -0.00086     -0.00234     -0.00501   
19791031      0.00063     -0.01727     -0.03050     -0.04036     -0.04809     -0.06261   
19791130      0.01670      0.02367      0.03196      0.03849      0.03734      0.03974   
19791231      0.00794      0.00793      0.00465      0.00657      0.00995      0.01054   
19800131      0.00843      0.00216     -0.00134     -0.00830     -0.01406     -0.02919   
19800229     -0.00293     -0.02939     -0.04898     -0.05711     -0.05783     -0.07354   
19800331      0.00619      0.00830      0.00820      0.01919      0.01617      0.02233   
19800430      0.03515      0.06845      0.09330      0.08935      0.10059      0.10923   
19800530      0.02118      0.03027      0.03478      0.03827      0.03801      0.04148   
19800630      0.00795      0.00966      0.00814      0.01081      0.01259      0.01888   
19800731      0.00473     -0.00088     -0.00381     -0.01208     -0.01529     -0.02213   
19800829     -0.00396     -0.01785     -0.02732     -0.03388     -0.04601     -0.04219   
19800930      0.00459      0.00196     -0.00075     -0.00161      0.00163     -0.00672   
19801030      0.00361     -0.00297     -0.00802     -0.01452     -0.01651     -0.02328   
19801128      0.00212     -0.00276     -0.00411     -0.00200     -0.00365      0.00332   
19801231      0.01656      0.02595      0.03001      0.02927      0.03418      0.02867   
19810130      0.00784      0.00373      0.00392      0.00526      0.00234     -0.00218   
19810227      0.01114      0.00483     -0.00504     -0.01400     -0.01743     -0.02698   
19810331      0.01924      0.02202      0.02427      0.02512      0.02127      0.02378   
19810430      0.00087     -0.01004     -0.01822     -0.02045     -0.02382     -0.03422   
19810529      0.00887      0.01168      0.01486      0.02143      0.02628      0.04111   
19810630      0.01592      0.01380      0.01329      0.00950      0.00399     -0.00444   
19810731      0.00599     -0.00422     -0.01194     -0.01997     -0.02045     -0.02604   
19810831      0.01046      0.00255      0.00089     -0.00734     -0.01309     -0.02358   
19810930      0.01702      0.01563      0.00685      0.00678      0.00363      0.00118   
19811030      0.01890      0.03797      0.04755      0.05722      0.06289      0.05987   
19811130      0.02754      0.04422      0.05966      0.06689      0.06820      0.10062   
19811231      0.00068     -0.01121     -0.02135     -0.02378     -0.02875     -0.04181   
19820129      0.00674      0.00582      0.00371      0.00423      0.00435      0.00341   
19820226      0.01137      0.01106      0.01287      0.01395      0.01180      0.02326   
19820331      0.01012      0.01071      0.00810      0.00655      0.01185      0.00203   
19820430      0.01421      0.01783      0.02103      0.02398      0.03053      0.02835   
19820528      0.01378      0.01685      0.01858      0.01511      0.01411      0.01598   
19820630      0.00439     -0.00286     -0.01047     -0.01317     -0.01763     -0.02219   
19820730      0.02038      0.03081      0.03802      0.04116      0.04001      0.05039   
19820831      0.01978      0.02809      0.03580      0.04123      0.04363      0.05530   
19820930      0.01283      0.01955      0.02536      0.02835      0.03668      0.04395   
19821029      0.01138      0.02402      0.03399      0.04178      0.04037      0.05623   
19821130      0.00801      0.01024      0.01302      0.01036      0.00813      0.00435   
19821231      0.00956      0.01407      0.01608      0.02233      0.02094      0.02578   
19830131      0.00727      0.00736      0.00563      0.00469      0.00233     -0.00543   
19830228      0.00805      0.01187      0.01558      0.01862      0.02420      0.03436   
19830331      0.00387      0.00114     -0.00101     -0.00242     -0.00424     -0.00588   
19830429      0.00970      0.01445      0.01757      0.02042      0.02212      0.02539   
19830531      0.00489      0.00094     -0.00423     -0.00681     -0.01050     -0.01693   
19830630      0.00590      0.00441      0.00365      0.00329     -0.00001      0.00081   
19830729      0.00474     -0.00115     -0.00693     -0.01230     -0.01948     -0.02825   
19830831      0.00885      0.00892      0.00678      0.00704      0.00531      0.00454   
19830930      0.01183      0.01787      0.02290      0.02485      0.02896      0.03519   
19831031      0.00860      0.00950      0.00760      0.00523      0.00523     -0.00035   
